,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.86,0.92,0.93,1.04,1.03,0.79,0.91,0.62,0.8,0.72,0.47
TEMP_0,1.26,0.76,1.3,0.79,0.95,1.38,1.03,0.71,0.93,0.87,0.54
PRES_0,0.86,0.85,0.89,1.16,0.99,0.78,0.89,0.61,0.78,0.7,0.43
PRES_1,1.3,0.8,1.55,0.73,0.99,1.58,1.07,0.74,0.97,0.91,0.63
DEWP_0,1.03,0.71,1.1,0.75,0.84,1.25,0.93,0.64,0.84,0.77,0.5
DEWP_1,0.96,1.08,1.02,1.28,1.32,0.79,1.0,0.68,0.86,0.79,0.49
WSPM_0,0.91,0.77,0.96,0.84,0.93,0.85,0.88,0.61,0.8,0.7,0.41
WSPM_1,1.13,0.94,1.22,0.99,1.08,1.16,1.08,0.73,0.94,0.92,0.69
PM10_0,1.04,0.83,1.12,0.89,0.98,1.03,0.97,0.66,0.81,0.84,0.9
PM10_1,1.02,0.9,1.07,0.98,1.08,0.94,1.01,0.7,0.96,0.78,0.42
PM10_2,1.66,1.37,1.79,1.57,1.73,1.65,1.62,1.13,1.53,1.29,0.5
