,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,0.92,1.06,1.06,0.86,0.98,1.02,1.08,0.63,1.04,0.81
TEMP_0,1.12,0.91,1.03,1.01,1.15,0.9,1.11,0.68,1.08,0.8
PRES_1,0.97,0.87,0.95,0.99,1.02,0.86,1.04,0.65,1.01,0.77
PRES_0,1.01,1.22,1.23,0.87,1.07,1.2,1.18,0.66,1.14,0.84
DEWP_1,0.91,1.0,1.02,0.83,0.94,1.07,1.04,0.61,1.01,0.75
DEWP_0,1.16,0.94,1.06,1.14,1.34,0.89,1.16,0.72,1.12,0.88
WSPM_0,0.88,0.88,0.94,0.8,0.92,0.87,0.98,0.6,0.95,0.69
WSPM_1,1.34,1.15,1.31,1.41,1.56,1.11,1.41,0.79,1.34,1.58
PM10_0,0.91,0.88,0.96,0.86,0.97,0.88,1.01,0.62,0.96,0.78
PM10_1,1.15,1.14,1.21,1.0,1.17,1.09,1.27,0.64,1.29,0.84
