,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.05,2.01,0.05,0.26,0.05,0.27,0.08,0.08,0.08,0.08,0.15
TEMP_0,1.12,0.02,0.17,0.03,0.18,0.03,0.05,0.05,0.05,0.05,0.03
PRES_0,0.04,0.26,0.04,2.03,0.04,0.2,0.07,0.08,0.07,0.07,0.1
PRES_1,0.16,0.03,1.54,0.03,0.15,0.03,0.06,0.05,0.05,0.06,0.04
DEWP_1,0.04,0.28,0.04,0.2,0.04,2.42,0.06,0.1,0.07,0.06,0.1
DEWP_0,0.18,0.03,0.15,0.03,1.87,0.03,0.06,0.04,0.05,0.06,0.04
WSPM_0,0.37,0.37,0.36,0.38,0.34,0.41,0.31,0.95,0.4,0.33,0.32
WSPM_1,,,,,,,0.01,,,,0.01
PM10_0,0.1,0.11,0.11,0.1,0.11,0.1,0.11,0.08,0.06,0.51,7.42
PM10_1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.06,0.01,0.03
PM10_2,,,,,,,,,,,
