,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE,0.77,0.78,0.8,0.75,0.85,0.91,0.83,0.72,0.77,0.76,0.95,0.84,0.73,0.77,0.87,0.96,1.33,1.0,1.31,1.05,1.26,1.23,1.28,1.21,1.26,1.25,1.36,0.54,1.27,1.03
E,0.8,0.77,0.84,0.74,0.87,0.96,0.81,0.75,0.77,0.85,0.92,0.9,0.77,0.7,0.85,0.87,1.36,0.97,1.34,1.01,1.25,1.27,1.25,1.27,1.24,1.31,1.37,0.5,1.28,1.07
NE,0.79,0.81,0.76,0.82,1.02,0.92,0.92,0.71,0.8,0.74,1.08,0.79,0.81,0.79,0.91,0.96,1.33,1.08,1.3,1.11,1.3,1.22,1.34,1.21,1.31,1.24,1.37,0.56,1.28,1.01
ESE,0.9,0.82,0.91,0.76,0.89,0.91,0.8,0.9,0.75,0.92,0.93,1.0,0.78,0.68,0.91,0.85,1.4,1.02,1.38,1.05,1.3,1.33,1.29,1.33,1.28,1.37,1.42,0.43,1.32,1.15
SW,1.14,1.06,1.03,1.01,0.73,1.07,0.78,1.03,0.85,1.02,0.66,1.14,0.82,0.88,0.99,0.64,1.37,1.12,1.38,1.02,1.33,1.34,1.28,1.43,1.28,1.41,1.44,,1.36,1.1
NW,1.11,1.14,1.01,1.32,1.0,0.71,1.29,0.84,1.11,0.76,0.92,0.68,1.13,1.09,0.66,0.74,1.34,2.31,1.33,1.71,1.4,1.26,1.5,1.24,1.65,1.22,1.44,,1.45,0.97
SSW,1.24,1.1,1.21,1.0,0.77,1.15,0.72,1.26,0.85,1.19,0.74,1.15,0.72,0.79,1.06,0.7,1.42,1.18,1.42,1.12,1.35,1.46,1.3,1.58,1.3,1.49,1.49,,1.41,1.16
NNE,0.88,0.92,0.86,0.9,1.02,1.0,0.85,0.74,0.84,0.74,1.13,0.84,0.79,0.79,0.87,0.96,1.41,1.31,1.4,1.31,1.35,1.41,1.4,1.36,1.4,1.36,1.49,,1.38,1.02
SE,1.0,0.88,1.02,0.81,0.97,1.08,0.84,1.11,0.73,1.09,0.94,0.94,0.74,0.72,0.87,0.82,1.47,1.09,1.47,1.09,1.38,1.39,1.35,1.44,1.34,1.45,1.5,0.49,1.39,1.3
N,0.94,0.94,0.91,0.89,1.09,0.88,0.95,0.78,0.91,0.73,0.97,0.76,0.96,0.92,0.78,0.75,1.4,1.46,1.39,1.43,1.42,1.35,1.46,1.31,1.47,1.33,1.5,,1.41,1.02
