,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,1.0,0.98,0.91,0.96,0.87,0.83,0.82,0.82,0.77,0.78,0.85,0.84,0.88,0.78,0.76,0.74,1.56,0.9,1.56,0.95,1.61,1.6,,1.6,,1.6,0.49,1.55,0.98
ENE,1.0,1.0,0.88,0.97,0.93,0.83,0.83,0.78,0.76,0.81,0.93,0.83,0.83,0.73,0.81,0.95,1.57,0.94,1.59,0.94,1.64,1.64,,1.64,,1.64,0.55,1.58,0.97
ESE,1.08,1.13,1.0,0.98,0.85,0.9,0.98,0.91,0.9,0.81,0.77,0.95,0.76,0.71,0.86,0.75,1.66,0.99,1.66,0.95,1.71,1.71,,1.71,,1.71,0.43,1.65,1.1
NE,1.0,1.03,1.01,1.0,0.99,1.05,0.89,0.86,0.91,0.79,1.1,0.89,0.84,0.77,0.85,1.2,1.7,1.07,1.7,1.11,1.75,1.75,,1.75,,1.75,0.44,1.69,0.98
SSW,1.26,1.06,1.16,1.06,1.0,1.0,1.15,1.02,0.98,1.02,0.82,0.93,0.82,0.66,0.65,0.64,1.75,1.21,1.77,1.05,1.8,1.8,,1.8,,1.8,,1.73,1.25
SW,1.24,1.2,1.18,1.01,1.02,1.0,0.88,1.03,1.07,1.1,0.86,0.74,0.78,0.74,0.85,0.59,1.74,1.18,1.76,0.96,1.81,1.81,,1.81,,1.81,,1.75,1.26
NNE,1.16,1.15,1.01,1.07,0.91,1.11,1.0,0.81,0.67,0.69,1.25,0.98,0.93,0.96,0.79,1.01,1.81,1.2,1.83,1.18,1.88,1.88,,1.88,,1.88,,1.82,1.0
SE,1.25,1.22,1.12,1.17,0.92,0.99,1.39,1.0,0.93,0.94,0.91,1.05,0.92,0.79,0.71,0.81,1.83,1.18,1.84,1.09,1.89,1.89,,1.89,,1.89,,1.82,1.37
S,1.41,1.42,1.23,1.14,1.02,1.01,1.54,1.09,1.0,0.97,0.9,1.0,0.85,1.3,0.64,0.65,1.81,1.21,1.85,1.05,1.9,1.9,,1.89,,1.89,,1.84,1.3
SSE,1.24,1.24,1.29,1.29,1.01,0.97,1.36,1.1,1.01,1.0,0.78,1.11,0.84,0.87,0.84,0.76,1.87,1.14,1.89,1.08,1.94,1.94,,1.94,,1.94,,1.88,1.29
WSW,1.2,1.02,1.18,0.89,1.24,1.13,0.77,1.19,1.21,1.34,1.0,0.81,0.89,0.68,0.76,0.81,1.88,1.21,1.88,1.13,1.95,1.95,,1.95,,1.95,,1.88,1.43
N,1.16,1.16,0.96,1.07,1.2,1.37,1.05,0.89,1.08,0.91,1.14,1.0,0.86,0.93,0.82,0.84,1.89,1.33,1.9,1.29,1.96,1.96,,1.96,,1.96,,1.89,1.03
