,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,0.95,1.02,0.93,1.03,0.86,1.1,0.76,1.0,0.91,0.74
TEMP_0,1.03,1.0,1.08,0.89,1.05,0.98,1.13,0.81,1.05,0.94,0.68
PRES_1,0.97,0.93,1.0,0.88,0.99,0.9,1.06,0.76,0.98,0.88,0.67
PRES_0,1.08,1.07,1.1,1.0,1.13,0.97,1.2,0.8,1.09,0.99,0.73
DEWP_1,0.97,0.95,1.0,0.88,1.0,0.88,1.06,0.72,0.97,0.89,0.66
DEWP_0,1.07,1.03,1.11,1.01,1.11,1.0,1.18,0.87,1.1,0.97,0.77
WSPM_0,0.91,0.89,0.95,0.82,0.93,0.85,1.0,0.7,0.92,0.82,0.6
WSPM_1,1.32,1.2,1.33,1.37,1.45,1.17,1.43,1.0,1.29,1.38,2.08
PM10_0,0.99,0.94,1.03,0.94,1.04,0.92,1.09,0.8,1.0,0.9,1.12
PM10_1,1.09,1.09,1.13,0.95,1.1,1.04,1.2,0.81,1.15,1.0,0.64
PM10_2,1.4,1.44,1.5,1.36,1.46,1.27,1.58,0.61,1.02,1.35,1.0
