,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,2.27,1.71,1.68,1.12,0.18,0.25,0.68,0.8,0.3,0.55,0.36,0.64,0.4,0.73,0.53,0.85,0.95,1.24,0.96,1.3,1.0,1.0,,1.0,,1.0,,1.09,0.47
ENE,1.62,2.16,0.93,2.13,0.15,0.23,1.51,0.45,,,0.28,1.29,0.43,0.63,0.55,,0.99,1.1,0.99,1.12,1.0,1.0,,1.0,,1.0,,1.08,0.51
ESE,2.0,1.14,2.63,0.5,0.29,0.21,0.29,1.9,0.73,1.07,,0.52,,,0.86,,0.89,1.68,0.95,1.41,1.0,1.0,,1.0,,1.0,,1.04,0.78
NE,1.0,1.86,0.52,3.03,,0.22,2.32,0.38,,,0.38,1.61,0.51,0.77,0.74,0.6,1.08,0.58,1.05,0.71,1.0,1.0,,1.0,,1.0,,1.09,0.49
SSW,0.22,,0.45,,4.11,2.7,,0.91,3.36,1.35,1.16,,,,,0.68,1.01,0.85,1.0,0.95,1.0,1.0,,1.0,,1.0,,0.88,1.68
SW,0.21,0.26,0.37,,2.65,4.22,,0.41,1.71,1.26,2.82,,,,0.8,0.95,1.04,0.6,1.05,0.5,1.0,1.0,,1.0,,1.0,,0.79,2.21
NNE,0.82,1.61,0.46,2.16,,,3.91,,,,,2.23,0.7,2.02,,,1.06,0.73,1.04,0.76,1.0,1.0,,1.0,,1.0,,1.06,0.64
SE,0.91,0.51,1.92,0.38,0.72,0.52,,4.09,1.0,2.64,,,,,,,0.91,1.57,0.91,1.76,1.0,1.0,,1.0,,1.0,,1.02,0.88
S,0.39,,0.73,,3.12,1.3,,1.5,3.59,2.91,0.65,,,,,,0.94,1.23,0.98,1.0,1.0,1.0,,1.0,,1.0,,1.02,0.89
SSE,0.64,0.29,1.53,,1.47,0.77,,2.68,2.46,3.78,,,,,,,0.93,1.5,0.93,1.5,1.0,1.0,,1.0,,1.0,,0.98,1.12
WSW,0.35,0.24,,,1.46,3.16,,0.53,1.03,0.59,5.96,,,,,3.4,1.07,0.6,1.06,0.52,1.0,1.0,,1.0,,1.0,,0.94,1.33
N,0.57,0.95,0.44,1.64,,0.38,2.83,,,,,4.64,1.24,1.97,1.11,,1.05,0.88,1.03,1.0,1.0,1.0,,0.99,,1.0,,1.05,0.68
NW,,0.62,0.46,0.51,,,0.65,,,,,1.42,7.7,4.87,4.35,1.77,1.09,0.37,1.07,0.42,1.0,1.0,,0.99,,1.0,,0.83,1.98
NNW,0.55,0.63,,0.9,,,1.53,,,,,2.19,5.18,6.13,2.82,,1.07,0.58,1.06,0.55,1.0,0.99,,0.98,,0.99,,0.87,1.76
WNW,,,0.71,,,0.67,,,,,1.18,1.11,5.39,2.4,6.45,4.09,1.08,0.53,1.08,,1.0,1.0,,1.0,,1.0,,0.92,1.49
W,0.4,,,,1.05,1.58,,,,,4.79,,1.54,,2.39,5.1,1.06,0.59,1.01,0.86,1.0,1.0,,1.0,,1.0,,1.0,1.02
PM2.5_0,0.94,0.99,0.88,1.07,1.01,1.06,1.07,0.92,0.97,0.91,1.07,1.04,1.1,1.1,1.09,1.08,1.15,0.17,1.1,0.3,1.0,1.0,,1.0,1.18,1.0,1.08,0.99,1.05
PM2.5_1,1.34,1.17,1.81,0.63,0.82,0.48,0.68,1.48,1.04,1.62,0.6,0.94,,0.36,0.49,0.51,0.17,7.45,0.45,6.44,1.0,1.0,,1.0,,1.0,,1.07,0.6
PM10_0,0.96,0.99,0.93,1.05,1.01,1.02,1.03,0.92,0.98,0.91,1.07,1.05,1.08,1.07,1.1,1.07,1.1,0.5,1.11,0.29,1.0,1.0,,1.0,1.14,1.0,1.05,0.99,1.04
PM10_1,1.32,1.15,1.62,0.71,0.87,0.75,0.84,1.62,1.04,1.62,0.42,0.84,,,,,0.37,5.94,0.29,7.95,1.0,1.0,,1.0,,1.0,,1.06,0.68
TEMP_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
PRES_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,0.99
DEWP_0,,,,,,,,,,,,,,,,,1.18,,1.14,,1.0,1.0,,,190.53,1.0,,0.45,4.25
RAIN_0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.65,1.0,0.99
RAIN_1,,,,,,,,,,,,,,,,,0.96,,0.96,,1.0,1.0,,1.0,,0.65,83.79,0.54,3.73
WSPM_0,1.08,1.08,1.03,1.08,0.91,0.84,1.06,1.03,0.98,0.99,0.97,1.03,0.81,0.86,0.89,1.01,1.0,1.02,1.0,1.03,1.0,1.0,,1.0,0.46,1.0,0.82,1.07,0.57
WSPM_1,0.52,0.54,0.8,0.55,1.55,1.92,0.64,0.82,1.13,1.08,1.19,0.8,2.09,1.81,1.64,0.92,1.01,0.88,1.02,0.8,1.0,1.0,,0.99,4.18,1.0,2.05,0.57,3.55
