,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,995648733.55,1.01,17885943.23,1.73,661.0,3.76,58.87,3258096.45
PRES_0,1.0,1.0,752213103.78,1.01,17875805.53,1.72,660.24,3.76,58.83,3256249.77
PRES_1,,,,,,,,,,
DEWP_1,0.99,1.0,993446030.64,1.01,14291689.54,1.72,657.65,3.75,58.59,3264004.53
DEWP_0,,,,,717377.68,0.01,3.32,0.02,0.28,
WSPM_0,0.85,0.86,970611899.43,0.87,12412614.65,1.48,546.85,3.22,49.88,2817685.38
WSPM_1,0.15,0.15,,0.15,4564830.85,0.25,112.41,0.54,9.04,439386.9
PM10_0,0.67,0.68,816620620.46,0.68,14439871.21,1.16,463.65,2.68,34.42,1769765.85
PM10_1,0.29,0.29,,0.29,,0.5,171.59,0.98,21.47,1174356.2
PM10_2,0.01,0.01,,0.01,,0.02,5.09,0.02,0.68,111142.87
