,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.71,1.0,0.64,0.87,0.41,0.84,0.66,0.38
PRES_0,1.0,1.0,,1.0,0.64,0.87,0.41,0.84,0.65,0.38
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.71,1.0,1.22,0.87,0.41,0.85,0.65,0.39
DEWP_0,10.03,10.02,,18.87,0.05,12.15,1.45,6.75,,
WSPM_0,1.06,1.06,0.65,1.06,1.15,0.92,0.53,0.91,0.67,0.4
WSPM_1,2.17,2.17,,2.19,0.41,2.08,0.43,1.69,1.79,0.94
PM10_0,1.17,1.17,0.56,1.17,0.59,1.03,0.48,0.81,1.35,1.5
PM10_1,1.64,1.64,,1.64,,1.42,0.66,2.39,0.52,0.33
PM10_2,6.63,6.62,,6.6,,5.67,3.75,11.22,2.54,0.09
