,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,,1.02,2553421784.33,1.87,2263.81,4.88,142.04,163788568.4
PRES_0,1.0,1.01,,1.02,2556318791.11,1.87,2266.38,4.88,142.2,163974396.14
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,,1.02,,1.87,2231.16,4.87,142.56,164515688.97
DEWP_0,1.0,1.01,,,486507828877.46,0.84,9618.81,6.89,,
WSPM_0,1.0,1.0,,1.02,1178790092.33,2.01,1286.49,4.82,145.84,179274326.54
WSPM_1,1.0,1.01,,1.0,10662566519.33,1.06,8029.15,5.26,119.62,
PM10_0,1.0,1.0,,1.02,3695832615.98,1.83,2533.12,6.73,32.8,
PM10_1,1.0,1.0,,1.02,,1.96,1626.66,1.13,406.91,181231482.43
PM10_2,1.0,1.01,,1.02,,1.8,,,163.46,10689869286.86
