,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.84,0.29,0.78,1.77,1.45,0.4,1.12,2.06,1.24,1.44,1.09
TEMP_0,0.3,2.07,1.39,0.44,0.6,1.85,1.09,1.89,1.14,1.38,1.87
PRES_1,0.83,1.51,1.5,0.27,0.82,1.5,1.09,2.05,1.23,1.32,1.47
PRES_0,1.66,0.39,0.24,2.83,1.49,0.29,1.14,1.84,1.11,1.58,1.41
DEWP_1,1.52,0.66,0.84,1.63,1.6,0.16,1.16,1.36,1.07,1.66,1.54
DEWP_0,0.46,1.88,1.44,0.36,0.16,2.58,1.03,2.98,1.39,1.0,1.31
WSPM_0,1.12,1.11,1.05,1.17,1.12,0.95,1.16,1.37,1.12,1.52,1.63
WSPM_1,1.05,1.2,1.17,0.98,0.66,1.82,0.82,5.55,1.6,0.76,0.44
PM10_0,1.12,1.09,1.11,1.02,0.92,1.31,1.07,2.95,1.73,0.65,0.17
PM10_1,1.16,1.12,1.0,1.32,1.25,0.74,1.17,0.84,0.62,2.72,1.32
PM10_2,0.87,1.44,1.09,1.27,1.07,0.97,1.17,0.23,0.03,1.29,10.21
