,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.09,1.0,0.16,1.01,0.76,0.94,0.78,0.27
PRES_0,1.0,1.0,,1.0,0.16,1.01,0.76,0.94,0.78,0.27
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.09,1.0,0.1,1.01,0.76,0.94,0.78,0.28
DEWP_0,2.04,2.04,,1.61,3.68,1.67,2.13,2.1,,
WSPM_0,1.02,1.02,0.1,1.02,0.11,1.04,0.7,0.96,0.79,0.29
WSPM_1,1.27,1.27,,1.27,0.43,1.23,1.39,1.19,1.01,0.26
PM10_0,1.05,1.05,0.12,1.05,0.2,1.06,0.85,1.09,0.61,0.21
PM10_1,1.17,1.17,,1.17,,1.18,0.75,0.84,1.3,0.39
PM10_2,1.81,1.81,,1.81,,1.81,1.33,0.83,2.02,2.61
