,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,,1.0,0.01,1.0,0.81,0.94,0.73,0.08
PRES_0,1.0,1.0,,1.0,0.01,1.0,0.81,0.94,0.73,0.08
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,,1.0,0.01,1.0,0.81,0.94,0.73,0.08
DEWP_0,0.82,0.82,,0.82,0.72,0.82,0.82,0.82,0.77,0.54
WSPM_0,1.0,1.0,,1.0,0.01,1.0,0.79,0.94,0.73,0.07
WSPM_1,1.0,1.0,,1.0,0.04,1.0,0.94,0.95,0.76,0.1
PM10_0,1.0,1.0,0.01,1.0,0.02,1.0,0.84,0.99,0.63,0.05
PM10_1,0.99,0.99,,0.99,0.01,0.99,0.75,0.88,0.97,0.13
PM10_2,0.99,0.99,,0.99,,0.99,0.69,0.83,0.99,0.69
