,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,,1.0,0.01,1.0,0.59,0.88,0.59,0.04
PRES_0,1.0,1.0,,1.0,0.01,1.0,0.59,0.88,0.59,0.04
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,,1.0,0.01,1.0,0.59,0.88,0.59,0.04
DEWP_0,0.92,0.92,,0.82,0.79,0.9,0.77,0.92,0.59,
WSPM_0,1.0,1.0,,1.0,0.01,1.0,0.55,0.88,0.59,0.05
WSPM_1,1.0,1.0,,1.0,0.03,0.99,0.81,0.89,0.61,0.04
PM10_0,1.0,1.0,,1.0,0.01,1.0,0.62,0.99,0.45,0.03
PM10_1,1.0,1.0,,1.0,,1.0,0.51,0.72,0.94,0.07
PM10_2,1.0,1.0,,1.0,,1.0,0.5,0.5,0.96,0.67
