,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,0.21,0.98,0.51,1.0,0.23,0.89,0.64,0.91,0.65
TEMP_1,,,,,,,,,,
PRES_1,1.02,0.21,0.99,0.57,1.02,0.26,0.91,0.66,0.92,0.67
PRES_0,2.05,,2.05,0.75,2.05,0.33,1.84,1.15,1.9,1.24
DEWP_0,1.0,0.21,0.98,0.51,1.0,0.24,0.89,0.64,0.91,0.65
DEWP_1,4.83,,4.7,,4.83,0.56,4.6,,3.84,3.35
WSPM_0,1.09,0.2,1.06,0.51,1.08,0.19,0.97,0.71,0.99,0.64
WSPM_1,1.44,,1.4,1.02,1.44,,1.28,0.87,1.28,1.6
PM10_0,1.08,0.23,1.05,0.59,1.08,0.46,0.96,0.7,0.97,0.75
PM10_1,1.48,,1.44,0.68,1.47,0.2,1.32,0.81,1.39,0.86
