,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.26,1.0,0.3,0.91,0.35,0.81,0.56,0.21
PRES_0,1.0,1.0,0.32,1.0,0.3,0.91,0.35,0.81,0.56,0.21
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.26,1.0,0.34,0.91,0.35,0.81,0.56,0.21
DEWP_0,8.64,8.63,,8.61,0.31,7.83,2.54,6.74,4.77,0.46
WSPM_0,1.06,1.06,0.36,1.06,0.33,0.96,0.37,0.86,0.58,0.22
WSPM_1,2.08,2.08,,2.07,0.47,1.88,0.66,1.66,1.32,0.49
PM10_0,1.16,1.16,0.25,1.16,0.33,1.05,0.41,0.91,0.71,0.37
PM10_1,1.59,1.59,,1.59,0.46,1.44,0.53,1.36,0.75,0.23
PM10_2,5.89,5.89,,5.87,,5.34,2.01,5.55,2.89,0.37
