,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,1.0,0.96,1.05,0.91,1.03,0.91,1.11,0.75,1.09,0.83
TEMP_0,1.03,1.0,1.07,0.93,1.07,0.96,1.15,0.76,1.11,0.86
PRES_1,0.95,0.93,1.0,0.87,0.99,0.88,1.06,0.71,1.03,0.8
PRES_0,1.1,1.04,1.13,1.0,1.14,1.02,1.23,0.83,1.2,0.91
DEWP_1,0.97,0.94,1.01,0.88,1.0,0.88,1.08,0.7,1.04,0.8
DEWP_0,1.07,1.04,1.13,0.98,1.12,1.0,1.19,0.83,1.17,0.9
WSPM_0,0.9,0.87,0.94,0.81,0.92,0.84,1.0,0.67,0.97,0.73
WSPM_1,1.34,1.32,1.41,1.27,1.5,1.22,1.49,1.0,1.44,1.66
PM10_0,0.92,0.9,0.97,0.84,0.96,0.86,1.03,0.71,1.0,0.77
PM10_1,1.23,1.16,1.25,1.09,1.23,1.09,1.34,0.67,1.29,1.0
