,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.61,1.0,0.58,0.93,0.44,0.85,0.66,0.38
PRES_0,1.0,1.0,0.74,1.0,0.58,0.93,0.44,0.85,0.66,0.38
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.61,1.0,0.67,0.93,0.44,0.85,0.66,0.39
DEWP_0,1.13,1.13,,1.13,0.08,1.05,0.42,0.93,0.73,0.11
WSPM_0,1.0,1.0,0.8,1.0,0.62,0.92,0.45,0.85,0.64,0.37
WSPM_1,1.01,1.01,,1.0,0.45,0.93,0.41,0.85,0.75,0.43
PM10_0,1.0,1.0,0.5,1.0,0.57,0.93,0.45,0.82,0.72,0.58
PM10_1,1.0,1.0,,1.0,0.57,0.92,0.42,0.9,0.55,0.26
PM10_2,1.0,1.0,,1.0,,0.92,0.44,0.99,0.57,0.11
