,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.43,0.36,0.73,1.25,1.23,0.29,1.08,1.33,1.08,1.15,0.57
TEMP_0,0.42,1.55,1.2,0.35,0.53,1.35,1.07,1.3,1.01,1.1,0.87
PRES_1,0.76,1.2,1.28,0.29,0.73,1.07,1.07,1.34,1.07,1.08,0.73
PRES_0,1.32,0.38,0.32,1.86,1.24,0.23,1.08,1.27,1.02,1.2,0.67
DEWP_1,1.27,0.57,0.77,1.15,1.32,0.19,1.09,1.04,0.97,1.27,0.74
DEWP_0,0.45,1.48,1.23,0.3,0.23,1.76,1.04,1.76,1.18,0.88,0.66
WSPM_0,0.97,0.9,0.94,0.84,0.95,0.71,1.09,1.08,1.01,1.18,0.76
WSPM_1,0.85,1.04,1.02,0.77,0.65,1.25,0.96,2.67,1.31,0.77,0.41
PM10_0,0.95,0.89,0.97,0.75,0.82,0.93,1.06,1.81,1.38,0.71,0.17
PM10_1,1.01,0.9,0.9,0.92,1.04,0.57,1.1,0.77,0.75,1.81,0.75
PM10_2,0.78,1.17,0.99,0.93,0.88,0.71,1.09,0.21,0.08,1.21,3.98
