,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,0.34,1.02,0.8,1.0,0.66,1.16,1.41,1.1,1.31,1.0
TEMP_1,,,,,,,,,,,
PRES_1,1.0,0.47,1.05,0.41,1.0,0.57,1.16,1.44,1.13,1.26,0.94
PRES_0,1.0,,0.65,6.1,1.0,1.84,1.23,0.95,0.75,2.05,1.76
DEWP_0,1.0,0.44,1.02,0.8,1.0,0.53,1.16,1.41,1.11,1.31,1.0
DEWP_1,1.0,,1.0,,1.0,43.77,1.24,,,1.62,
WSPM_0,1.0,0.57,1.02,0.83,1.0,0.63,1.22,1.07,1.02,1.48,1.11
WSPM_1,1.0,,1.02,0.73,1.0,,1.0,2.36,1.34,0.85,0.68
PM10_0,1.0,0.46,1.04,0.54,1.0,,1.12,1.86,1.42,0.84,0.32
PM10_1,1.0,,1.0,1.18,1.0,0.82,1.23,0.84,0.81,2.21,1.06
PM10_2,1.0,,0.99,1.29,1.0,1.81,1.22,0.53,0.26,1.5,4.27
