,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.37,1.0,0.39,0.91,0.38,0.83,0.6,0.26
PRES_0,1.0,1.0,0.45,1.0,0.39,0.92,0.38,0.83,0.6,0.26
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.37,1.0,0.44,0.92,0.38,0.83,0.6,0.27
DEWP_0,3.83,3.83,,3.82,0.18,3.5,1.24,3.05,2.25,0.26
WSPM_0,1.04,1.04,0.5,1.03,0.43,0.95,0.4,0.86,0.61,0.27
WSPM_1,1.55,1.55,,1.55,0.46,1.42,0.55,1.27,1.05,0.46
PM10_0,1.1,1.09,0.33,1.09,0.41,1.0,0.43,0.88,0.71,0.44
PM10_1,1.32,1.32,,1.32,0.5,1.21,0.48,1.15,0.66,0.24
PM10_2,2.9,2.9,,2.89,,2.65,1.09,2.78,1.52,0.23
