,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE,2.52,1.87,1.8,1.25,0.71,0.62,0.73,1.31,0.99,0.97,0.82,0.77,0.78,0.9,0.63,0.87,0.62,1.46,0.65,1.41,0.82,1.1,0.86,1.14,0.97,0.94,,1.22,6.55,0.53
E,1.76,2.17,1.12,1.88,0.78,0.5,0.86,0.9,1.37,0.75,0.76,0.6,0.99,1.1,0.53,0.77,0.57,1.36,0.62,1.34,1.02,0.86,1.08,0.9,1.19,0.77,,1.32,26.26,0.56
NE,1.49,1.02,2.65,0.76,0.78,0.92,0.64,1.41,0.89,1.0,0.77,0.81,0.59,0.62,0.73,0.94,0.77,1.15,0.74,1.1,0.67,1.35,0.69,1.41,0.8,1.22,,1.36,2.43,0.59
ESE,1.29,2.14,0.84,2.57,0.74,0.39,0.92,0.82,1.98,0.66,0.69,0.46,1.34,1.5,0.49,0.7,0.7,1.38,0.68,1.38,1.32,0.74,1.25,0.78,1.49,0.68,,1.28,14.95,0.75
SW,0.68,0.73,0.72,0.77,4.07,0.71,2.7,0.56,1.02,0.64,2.21,0.53,1.75,1.28,0.84,1.27,1.86,0.73,1.76,0.73,1.57,0.84,1.21,0.87,1.21,0.93,,0.5,2.87,1.8
NW,0.39,0.36,0.59,0.36,0.46,7.79,0.37,0.79,0.33,1.5,0.59,3.57,0.28,0.29,4.11,1.15,2.67,0.67,1.65,0.76,0.49,2.1,0.64,1.71,0.43,2.86,0.21,0.88,0.18,3.92
SSW,0.76,0.94,0.63,1.15,2.85,0.41,3.82,0.73,1.37,0.57,1.56,0.45,2.72,2.1,0.59,0.96,1.49,0.93,1.54,0.88,2.24,0.62,1.75,0.6,1.69,0.6,,,4.78,1.43
NNE,1.66,1.01,1.98,0.84,0.6,1.02,0.53,2.38,0.61,1.76,0.85,1.46,0.51,0.53,0.91,0.92,0.96,0.88,1.03,0.9,0.96,0.99,1.06,0.93,1.12,0.84,,1.58,1.13,0.7
SE,0.95,1.44,0.78,2.01,0.97,0.37,1.23,0.76,2.82,0.59,0.7,0.37,1.7,2.4,0.37,0.6,0.84,1.29,0.93,1.29,1.46,0.82,1.24,0.83,1.4,0.73,,0.76,41.57,0.85
N,1.04,0.75,1.4,0.59,0.47,1.68,0.45,1.94,0.47,2.98,0.62,2.65,0.49,0.52,1.38,0.73,1.07,0.87,1.13,0.84,0.77,1.22,0.86,1.14,0.79,1.23,0.21,0.9,0.64,1.06
