,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,0.79,0.8,0.74,0.84,0.87,0.84,0.77,0.73,0.74,0.73,0.88,0.81,0.93,0.78,0.81,0.79,1.32,0.86,1.31,0.9,1.34,1.34,,1.33,,1.34,0.64,1.28,0.91
ENE,0.8,0.78,0.74,0.79,0.98,0.84,0.71,0.73,0.78,0.82,0.93,0.73,0.82,0.71,0.84,0.99,1.31,0.92,1.32,0.9,1.35,1.35,,1.35,,1.35,0.7,1.29,0.91
ESE,0.84,0.94,0.77,0.89,0.79,0.87,0.95,0.75,0.8,0.7,0.78,0.92,0.81,0.75,0.89,0.76,1.37,0.89,1.36,0.85,1.39,1.39,,1.39,,1.39,0.53,1.33,0.96
NE,0.8,0.79,0.89,0.75,1.06,1.06,0.7,0.82,0.96,0.84,1.08,0.74,0.78,0.71,0.83,1.23,1.37,1.12,1.36,1.11,1.41,1.41,,1.41,,1.41,0.51,1.35,0.89
SSW,1.13,1.01,1.02,1.13,0.73,0.75,1.3,0.88,0.75,0.85,0.69,1.0,0.96,0.78,0.69,0.59,1.4,1.16,1.41,0.98,1.44,1.43,,1.43,,1.43,,1.37,0.99
SW,1.13,1.1,1.07,0.98,0.78,0.74,0.92,0.94,0.86,0.96,0.67,0.76,0.84,0.8,0.83,0.52,1.38,1.17,1.4,0.92,1.44,1.44,,1.44,,1.44,,1.38,0.99
NNE,0.93,0.87,0.88,0.79,0.99,1.14,0.73,0.78,0.72,0.73,1.26,0.76,0.85,0.8,0.73,0.97,1.42,1.24,1.43,1.17,1.47,1.47,,1.47,,1.47,,1.42,0.87
SE,0.98,1.03,0.84,1.06,0.78,0.88,1.35,0.74,0.75,0.72,0.86,1.02,0.99,0.85,0.76,0.81,1.46,1.03,1.45,0.93,1.48,1.48,,1.48,,1.48,,1.41,1.13
S,1.21,1.29,1.01,1.15,0.75,0.79,1.69,0.88,0.74,0.75,0.78,1.01,0.9,1.57,0.68,0.63,1.43,1.1,1.45,0.95,1.48,1.48,,1.48,,1.48,,1.43,1.03
SSE,1.0,1.08,1.0,1.23,0.79,0.8,1.39,0.83,0.76,0.73,0.69,1.08,0.9,0.96,0.9,0.72,1.48,1.0,1.47,0.94,1.5,1.5,,1.5,,1.5,,1.44,1.03
WSW,1.02,0.88,1.05,0.78,0.98,0.84,0.74,1.08,1.0,1.19,0.72,0.75,0.83,0.71,0.67,0.65,1.45,1.2,1.45,1.12,1.51,1.51,,1.5,,1.51,,1.44,1.16
N,0.94,0.88,0.82,0.81,1.17,1.31,0.8,0.86,1.05,0.88,1.08,0.74,0.74,0.75,0.73,0.79,1.47,1.31,1.46,1.25,1.52,1.52,,1.52,,1.51,,1.45,0.88
NW,0.89,0.92,1.12,0.93,1.35,1.02,0.92,1.05,1.27,1.09,0.98,0.83,0.68,0.71,0.66,0.74,1.5,2.4,1.51,1.9,1.57,1.57,,1.57,,1.57,,1.52,1.04
NNW,1.04,1.03,1.18,1.01,1.49,1.34,0.83,1.1,,1.09,1.32,0.87,0.72,0.7,0.75,0.86,1.54,2.11,1.56,1.72,1.62,1.63,,1.64,,1.62,,1.56,1.01
WNW,0.98,0.99,0.95,0.98,1.28,0.99,1.06,1.14,1.39,1.15,1.01,0.87,0.75,0.7,0.7,0.88,1.59,1.66,1.6,1.42,1.65,1.65,,1.65,,1.65,,1.62,1.08
W,1.03,0.85,1.0,0.67,1.19,1.14,0.78,1.06,1.26,1.19,0.98,0.92,0.95,0.94,0.69,0.72,1.61,1.53,1.61,1.54,1.66,1.66,,1.66,,1.66,,1.59,1.42
PM2.5_0,0.65,0.64,0.62,0.62,0.63,0.62,0.59,0.59,0.6,0.6,0.59,0.58,0.58,0.56,0.53,0.52,0.98,0.85,0.99,0.76,1.02,1.02,0.49,1.02,0.55,1.02,0.51,0.98,0.71
PM2.5_1,0.87,0.88,0.8,0.88,0.75,0.8,0.82,0.77,0.71,0.68,0.85,0.71,0.56,0.57,0.69,0.85,1.46,0.73,1.36,0.74,1.35,1.35,,1.35,,1.35,,1.29,0.77
PM10_0,0.65,0.64,0.62,0.62,0.61,0.61,0.59,0.59,0.59,0.59,0.58,0.58,0.58,0.55,0.53,0.53,0.98,0.83,0.98,0.77,1.02,1.02,0.49,1.02,0.55,1.02,0.5,0.98,0.7
PM10_1,0.87,0.86,0.8,0.85,0.87,0.95,0.81,0.77,0.84,0.72,1.0,0.71,0.55,0.59,0.77,0.73,1.47,0.74,1.43,0.72,1.39,1.38,,1.38,,1.38,,1.32,0.82
TEMP_1,0.63,0.63,0.61,0.61,0.61,0.6,0.59,0.58,0.58,0.57,0.58,0.57,0.56,0.54,0.52,0.52,0.97,0.74,0.97,0.7,1.0,1.0,0.49,1.0,0.54,1.0,0.45,0.96,0.68
PRES_0,0.63,0.63,0.61,0.61,0.61,0.6,0.59,0.58,0.58,0.57,0.58,0.57,0.56,0.54,0.52,0.52,0.97,0.74,0.97,0.7,1.0,1.0,,1.0,0.54,1.0,0.45,0.96,0.68
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,0.63,0.63,0.61,0.61,0.61,0.6,0.59,0.58,0.58,0.57,0.58,0.57,0.56,0.54,0.53,0.52,0.97,0.74,0.97,0.7,1.0,1.0,0.49,1.0,0.57,1.0,0.45,0.96,0.69
DEWP_0,1.55,,,,,,,,,,,,1.08,1.24,,,2.23,,2.25,,2.34,2.34,,2.68,0.5,2.33,,2.2,1.2
RAIN_0,0.63,0.63,0.61,0.61,0.61,0.6,0.59,0.58,0.58,0.57,0.58,0.57,0.57,0.54,0.52,0.52,0.97,0.74,0.97,0.69,1.0,1.0,0.49,1.0,0.54,1.0,0.46,0.96,0.68
RAIN_1,,1.25,1.32,1.12,,,,,,,,,,,,,2.0,,2.05,,2.13,2.13,,2.13,,2.15,0.52,2.07,1.79
