,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.75,33.22,0.84,4.21,0.83,4.41,1.36,1.37,1.32,1.33,2.51
TEMP_0,35.75,0.7,5.43,0.82,5.86,0.82,1.47,1.46,1.53,1.52,0.96
PRES_0,0.85,5.07,0.73,39.48,0.87,3.83,1.36,1.5,1.42,1.28,1.9
PRES_1,4.39,0.81,40.89,0.71,4.0,0.86,1.47,1.34,1.4,1.6,1.12
DEWP_1,0.84,5.58,0.87,3.85,0.73,47.57,1.27,2.06,1.43,1.26,2.03
DEWP_0,4.66,0.8,3.94,0.86,49.14,0.71,1.59,1.07,1.4,1.62,1.08
WSPM_0,1.13,1.14,1.11,1.16,1.03,1.26,0.96,2.94,1.23,1.03,0.97
WSPM_1,2.15,2.1,2.29,1.98,3.2,1.57,5.51,0.67,1.65,3.26,5.04
PM10_0,1.28,1.38,1.36,1.29,1.37,1.29,1.43,1.06,0.82,6.48,94.46
PM10_1,1.67,1.78,1.58,1.91,1.56,1.94,1.59,2.47,8.47,0.69,3.94
PM10_2,6.61,2.32,4.93,2.75,5.23,2.66,3.09,7.82,206.91,8.34,0.33
