,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,,1.0,0.01,0.98,0.36,0.8,0.44,0.02
PRES_0,1.0,1.0,,1.0,0.01,0.98,0.36,0.8,0.44,0.02
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,,1.0,,0.98,0.35,0.8,0.44,0.02
DEWP_0,1.0,1.0,,0.59,0.85,0.67,0.77,0.97,,
WSPM_0,1.0,1.0,,1.0,,0.99,0.29,0.79,0.45,0.02
WSPM_1,1.0,1.0,,0.99,0.03,0.89,0.73,0.81,0.42,0.01
PM10_0,1.0,1.0,,1.0,0.01,0.97,0.39,0.97,0.25,0.01
PM10_1,1.0,1.0,,1.0,,0.99,0.29,0.47,0.9,0.04
PM10_2,1.0,1.0,,1.0,,0.97,0.31,0.24,0.86,0.64
