,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,12.59,54.28,7.74,68.19,11.77,49.55,8.16,206.85,34.82,66.33,68270.3
TEMP_0,6.97,98.9,4.87,164.66,16.89,18.21,8.02,195.89,33.79,61.24,71099.67
PRES_0,12.02,60.47,8.19,56.51,12.15,47.9,8.16,204.67,34.14,66.43,69011.01
PRES_1,7.18,94.05,3.56,201.94,16.96,16.47,8.0,198.34,34.92,60.24,70129.24
DEWP_0,8.8,91.08,5.55,144.57,17.85,18.81,8.05,199.46,34.47,61.56,75598.79
DEWP_1,12.34,47.75,7.94,58.12,8.65,60.38,8.16,206.35,34.33,67.8,61486.9
WSPM_0,10.3,72.4,6.54,110.25,13.39,37.41,8.14,199.81,33.82,64.83,66765.64
WSPM_1,10.45,71.32,6.7,99.52,14.6,36.46,8.03,207.63,35.54,63.29,74436.68
PM10_0,9.95,72.32,6.32,111.66,14.2,35.56,8.04,206.52,39.46,57.11,51752.0
PM10_1,10.71,70.28,6.68,101.27,13.28,38.22,8.16,202.98,32.9,71.54,62927.63
PM10_2,10.82,78.62,7.67,105.06,14.51,39.0,8.15,178.69,13.94,67.97,195565.2
