,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.16,0.16,1.08,0.47,1.08,0.46,0.99,0.61,0.89,0.73,0.31
TEMP_0,0.18,1.2,0.45,1.12,0.43,1.13,1.0,0.63,0.87,0.72,0.53
PRES_0,1.1,0.42,1.17,0.16,1.07,0.5,1.0,0.6,0.87,0.75,0.35
PRES_1,0.49,1.1,0.16,1.19,0.51,1.08,0.99,0.64,0.9,0.69,0.48
DEWP_1,1.1,0.41,1.07,0.5,1.17,0.14,1.04,0.5,0.87,0.76,0.34
DEWP_0,0.48,1.1,0.51,1.08,0.15,1.19,0.94,0.73,0.9,0.69,0.49
WSPM_0,0.82,0.77,0.81,0.78,0.84,0.75,1.02,0.36,0.81,0.71,0.43
WSPM_1,0.95,0.91,0.91,0.95,0.78,1.07,0.68,1.22,1.09,0.68,0.32
PM10_0,0.86,0.79,0.83,0.83,0.83,0.83,0.93,0.7,1.11,0.32,0.06
PM10_1,0.92,0.84,0.93,0.83,0.94,0.82,1.1,0.52,0.42,1.21,0.29
PM10_2,0.81,1.27,0.92,1.19,0.89,1.21,1.35,0.5,0.13,0.61,1.73
