,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,1235.36,1.01,348.09,1.34,16.94,1.76,5.27,295.87
PRES_0,1.0,1.0,,1.01,348.48,1.34,16.96,1.76,5.28,296.21
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,1240.84,1.01,157.33,1.34,16.85,1.76,5.28,297.19
DEWP_0,1.0,1.0,,0.59,43316.28,0.91,36.61,2.15,,
WSPM_0,1.0,1.0,1444.77,1.01,169.62,1.36,13.88,1.75,5.32,313.8
WSPM_1,1.0,1.0,,1.0,1400.87,1.22,34.98,1.79,4.99,190.12
PM10_0,1.0,1.0,1836.39,1.01,474.32,1.33,18.38,2.15,2.98,127.2
PM10_1,1.0,1.0,,1.01,,1.35,13.63,1.03,10.78,475.67
PM10_2,1.0,1.0,,1.01,,1.33,14.65,0.54,10.24,8203.84
