,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,0.38,0.98,0.65,1.0,0.39,0.92,0.72,0.93,0.74
TEMP_1,,,,,,,,,,
PRES_1,1.01,0.37,0.99,0.71,1.01,0.43,0.93,0.73,0.94,0.75
PRES_0,1.44,,1.45,0.67,1.44,0.39,1.33,0.91,1.37,0.99
DEWP_0,1.0,0.37,0.98,0.65,1.0,0.4,0.92,0.72,0.93,0.74
DEWP_1,2.24,,2.19,,2.24,0.43,2.19,,1.82,1.76
WSPM_0,1.04,0.34,1.02,0.62,1.04,0.31,0.95,0.76,0.98,0.7
WSPM_1,1.2,,1.18,1.08,1.2,,1.11,0.82,1.1,1.52
PM10_0,1.04,0.4,1.02,0.72,1.04,0.75,0.95,0.76,0.96,0.82
PM10_1,1.22,,1.2,0.71,1.22,0.27,1.12,0.75,1.18,0.81
