,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,0.28,0.7,0.53,0.25,0.34,0.84,0.45,0.11,0.34,0.24,0.27
TEMP_0,0.56,0.22,0.32,0.57,0.62,0.22,0.41,0.11,0.33,0.21,0.13
PRES_1,0.56,0.37,0.43,0.82,0.66,0.38,0.57,0.16,0.44,0.3,0.23
PRES_0,0.19,0.52,0.51,0.12,0.22,0.66,0.29,0.07,0.22,0.15,0.14
DEWP_1,0.36,0.64,0.58,0.31,0.38,1.15,0.53,0.14,0.42,0.26,0.22
DEWP_0,0.46,0.18,0.26,0.54,0.82,0.15,0.33,0.08,0.24,0.19,0.15
WSPM_0,0.6,0.64,0.71,0.54,0.69,0.71,0.73,0.21,0.58,0.36,0.28
WSPM_1,0.12,0.09,0.11,0.13,0.18,0.07,0.13,0.02,0.08,0.11,0.31
PM10_0,0.41,0.4,0.46,0.42,0.52,0.37,0.48,0.11,0.32,0.31,0.95
PM10_1,0.23,0.26,0.28,0.19,0.25,0.35,0.29,0.09,0.27,0.12,0.08
PM10_2,0.07,0.05,0.07,0.06,0.08,0.06,0.08,0.03,0.11,0.04,0.01
