,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,778629.76,1.01,51191.96,1.37,47.52,2.21,11.92,12797.99
PRES_0,1.0,1.0,,1.01,51076.0,1.36,47.4,2.2,11.89,12769.0
PRES_1,,,,,,,,,,
DEWP_1,0.99,0.99,771762.25,1.0,47635.42,1.36,47.1,2.19,11.81,12954.63
DEWP_0,,,,,1.13,,,,,
WSPM_0,0.73,0.73,601825.84,0.74,35286.86,1.0,34.7,1.62,8.6,9513.58
WSPM_1,0.02,0.02,,0.02,1174.98,0.03,1.0,0.05,0.27,237.86
PM10_0,0.45,0.45,352360.96,0.46,24651.85,0.62,22.25,1.0,5.37,6660.54
PM10_1,0.08,0.08,,0.08,,0.11,3.62,0.19,1.0,996.71
PM10_2,,,,,,,,,,1.0
