,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRES_0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRES_1,,,,,,,,,,
DEWP_1,1.08,1.07,1.0,1.53,0.61,1.1,1.0,1.0,1.0,1.0
DEWP_0,0.06,0.06,,0.01,565.46,0.04,2.97,5.9,1.02,
WSPM_0,0.85,0.85,1.17,1.01,0.66,1.6,0.84,0.99,1.0,1.05
WSPM_1,,,,0.97,3.06,0.31,3.3,1.05,0.99,0.72
PM10_0,2.92,2.36,1.49,1.35,1.35,0.9,1.14,9.65,0.54,0.52
PM10_1,0.38,0.4,,0.58,,1.13,0.74,0.31,11.19,1.74
PM10_2,,,,,,,0.76,0.11,19.8,46.85
