,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,0.8,0.79,0.73,0.82,0.81,0.76,0.72,0.7,0.71,0.7,0.77,0.75,0.76,0.69,0.67,0.69,1.48,0.88,1.48,0.89,1.54,1.53,,1.53,,1.53,0.47,1.46,0.87
ENE,0.81,0.8,0.75,0.77,0.82,0.8,0.65,0.69,0.73,0.74,0.82,0.69,0.72,0.7,0.72,0.84,1.49,0.92,1.5,0.9,1.56,1.56,,1.56,,1.56,0.58,1.48,0.87
ESE,0.86,0.9,0.79,0.85,0.8,0.82,0.88,0.76,0.77,0.71,0.75,0.83,0.75,0.69,0.73,0.65,1.59,0.92,1.59,0.87,1.63,1.63,,1.63,,1.63,0.42,1.55,0.97
NE,0.84,0.82,0.81,0.78,0.96,0.93,0.71,0.76,0.81,0.75,0.91,0.7,0.76,0.69,0.77,0.92,1.58,1.17,1.59,1.14,1.66,1.66,,1.66,,1.66,0.49,1.58,0.91
SSW,1.04,1.01,0.98,0.98,0.76,0.78,1.11,0.86,0.75,0.82,0.69,0.9,0.86,0.81,0.7,0.54,1.64,1.14,1.65,0.99,1.71,1.71,,1.7,,1.7,,1.62,1.06
SW,1.11,1.09,0.98,0.93,0.8,0.77,0.87,0.9,0.82,0.89,0.71,0.77,0.82,0.67,0.76,0.55,1.63,1.14,1.65,0.91,1.72,1.72,,1.71,,1.71,,1.63,1.06
NNE,0.92,0.92,0.9,0.85,0.91,1.05,0.76,0.76,0.75,0.76,1.01,0.77,0.78,0.76,0.69,0.84,1.68,1.36,1.7,1.23,1.77,1.78,,1.77,,1.77,0.79,1.68,0.93
SE,0.97,1.01,0.86,0.98,0.82,0.87,1.14,0.77,0.79,0.75,0.82,0.99,0.95,0.85,0.64,0.7,1.75,1.05,1.74,0.94,1.78,1.78,,1.78,,1.78,0.49,1.69,1.17
S,1.12,1.11,0.98,1.1,0.79,0.79,1.31,0.87,0.76,0.76,0.76,0.98,0.92,0.92,0.69,0.6,1.72,1.07,1.73,1.0,1.79,1.79,,1.78,,1.78,,1.7,1.09
SSE,0.99,1.06,0.98,1.07,0.86,0.87,1.21,0.8,0.81,0.76,0.72,0.95,0.93,0.97,0.91,0.68,1.76,1.03,1.78,0.99,1.83,1.83,,1.82,,1.82,0.65,1.73,1.12
WSW,1.0,0.92,1.07,0.83,1.0,0.85,0.79,1.04,1.02,1.03,0.75,0.79,0.84,0.72,0.68,0.66,1.74,1.25,1.75,1.08,1.83,1.83,,1.83,,1.83,,1.74,1.27
N,1.01,0.94,0.92,0.89,1.08,1.22,0.83,0.88,0.95,0.87,1.01,0.77,0.71,0.73,0.71,0.78,1.78,1.42,1.78,1.27,1.85,1.85,,1.85,,1.85,,1.76,0.99
NW,1.0,0.97,1.12,0.94,1.15,1.08,0.89,0.99,1.1,1.11,0.97,0.82,0.72,0.72,0.67,0.71,1.84,2.73,1.87,1.82,1.95,1.95,,1.96,,1.95,,1.86,1.14
NNW,1.16,1.09,1.22,1.04,1.44,1.42,0.9,1.04,1.02,0.98,1.09,0.91,0.76,0.73,0.74,0.79,1.93,2.6,1.96,1.81,2.05,2.05,,2.07,,2.05,,1.94,1.15
WNW,1.17,1.13,1.11,1.04,1.24,1.01,1.11,1.26,1.2,1.08,1.02,0.9,0.81,0.74,0.73,0.89,1.99,2.09,2.02,1.6,2.1,2.1,,2.1,,2.1,,2.03,1.24
W,1.15,0.96,1.11,0.84,1.26,1.12,0.87,1.15,1.35,1.21,1.03,0.93,1.0,0.85,0.74,0.77,2.03,1.61,2.04,1.42,2.12,2.11,,2.11,,2.11,,2.01,1.49
PM2.5_0,0.56,0.55,0.53,0.52,0.53,0.52,0.49,0.49,0.49,0.49,0.48,0.48,0.48,0.45,0.43,0.41,0.98,0.72,0.99,0.64,1.03,1.03,0.35,1.03,0.42,1.03,0.36,0.98,0.62
PM2.5_1,0.87,0.85,0.79,0.82,0.73,0.77,0.76,0.79,0.72,0.66,0.77,0.66,0.44,0.49,0.55,0.75,1.58,0.77,1.53,0.76,1.56,1.56,,1.55,,1.55,,1.48,0.8
PM10_0,0.56,0.55,0.53,0.52,0.52,0.51,0.49,0.49,0.49,0.48,0.48,0.48,0.47,0.44,0.42,0.41,0.98,0.71,0.98,0.64,1.03,1.03,0.35,1.03,0.42,1.03,0.37,0.98,0.61
PM10_1,0.88,0.85,0.8,0.82,0.81,0.9,0.79,0.79,0.82,0.71,0.89,0.68,0.47,0.53,0.63,0.78,1.65,0.78,1.61,0.75,1.62,1.62,,1.62,,1.62,,1.54,0.86
TEMP_1,0.55,0.53,0.51,0.51,0.51,0.5,0.48,0.47,0.48,0.47,0.47,0.46,0.45,0.43,0.41,0.4,0.96,0.64,0.96,0.59,1.0,1.0,0.35,1.0,0.41,1.0,0.33,0.95,0.59
PRES_0,0.55,0.53,0.51,0.51,0.51,0.5,0.48,0.47,0.48,0.47,0.47,0.46,0.45,0.43,0.41,0.4,0.96,0.64,0.96,0.59,1.0,1.0,,1.0,0.41,1.0,0.33,0.95,0.59
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,0.55,0.53,0.51,0.51,0.51,0.5,0.48,0.47,0.48,0.47,0.47,0.46,0.45,0.42,0.41,0.4,0.96,0.64,0.96,0.6,1.0,1.0,0.35,1.0,0.42,1.0,0.33,0.95,0.59
DEWP_0,1.79,2.08,,1.74,,,1.06,,,,,,1.52,1.6,,,3.25,,3.29,,3.43,3.43,,3.64,0.58,3.43,,3.15,1.63
RAIN_0,0.55,0.53,0.51,0.51,0.51,0.5,0.48,0.47,0.48,0.47,0.47,0.46,0.45,0.43,0.41,0.4,0.96,0.64,0.96,0.59,1.0,1.0,0.35,1.0,0.41,1.0,0.33,0.95,0.59
RAIN_1,1.74,1.57,1.7,1.28,,,1.06,,,,,,,,,,2.89,,2.96,,3.05,3.05,,3.05,,3.05,0.59,2.85,2.07
WSPM_0,0.55,0.54,0.53,0.51,0.53,0.53,0.49,0.49,0.5,0.48,0.49,0.47,0.48,0.44,0.43,0.42,0.99,0.64,1.0,0.6,1.03,1.03,0.37,1.03,0.43,1.03,0.34,0.98,0.62
WSPM_1,0.91,0.9,0.8,0.88,0.7,0.68,0.83,0.71,0.67,0.73,0.64,0.8,0.62,0.63,0.6,0.56,1.42,1.31,1.43,1.0,1.49,1.49,,1.49,0.54,1.49,0.42,1.42,0.82
