,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,0.33,0.96,0.53,1.0,0.23,0.77,0.44,0.75,0.49,0.48
TEMP_1,,,,,,,,,,,
PRES_1,1.02,0.25,0.95,0.99,1.02,0.28,0.79,0.45,0.75,0.52,0.52
PRES_0,2.22,,3.1,0.16,2.22,0.16,1.67,1.02,2.03,0.78,0.62
DEWP_0,1.0,0.27,0.96,0.53,1.0,0.28,0.77,0.44,0.75,0.49,0.48
DEWP_1,5.75,,5.65,,5.74,0.02,4.75,,,2.13,
WSPM_0,1.1,0.22,1.05,0.49,1.09,0.19,0.82,0.61,0.89,0.46,0.42
WSPM_1,1.5,,1.41,1.49,1.49,,1.28,0.42,0.92,1.44,2.72
PM10_0,1.18,0.31,1.11,1.1,1.17,,0.92,0.42,0.7,0.84,2.36
PM10_1,1.45,0.28,1.42,0.45,1.44,0.19,1.08,0.99,1.5,0.45,0.51
PM10_2,1.93,,1.86,0.7,1.93,0.11,1.48,1.29,3.48,0.85,0.23
