,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.51,1.0,0.53,0.92,0.55,0.89,0.74,0.43
PRES_0,1.0,1.0,,1.0,0.53,0.92,0.55,0.89,0.74,0.43
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.51,1.0,0.7,0.92,0.55,0.89,0.74,0.44
DEWP_0,3.75,3.75,,5.29,0.18,4.03,1.16,2.97,,
WSPM_0,1.04,1.04,0.49,1.03,0.68,0.95,0.63,0.93,0.75,0.45
WSPM_1,1.55,1.55,,1.55,0.46,1.5,0.59,1.3,1.34,0.66
PM10_0,1.09,1.09,0.46,1.09,0.52,1.01,0.61,0.88,1.07,0.95
PM10_1,1.32,1.32,,1.32,,1.22,0.68,1.55,0.68,0.4
PM10_2,2.9,2.9,,2.89,,2.63,1.97,3.24,1.69,0.24
