,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.0,,0.97,0.69,1.0,0.44,0.84,0.61,0.85,0.67,0.68
TEMP_1,,,,,,,,,,,
PRES_1,0.93,0.43,0.87,1.64,0.93,0.53,0.78,0.56,0.77,0.65,0.68
PRES_0,0.07,,0.14,0.01,0.07,,0.06,0.05,0.1,0.03,0.02
DEWP_0,1.0,0.5,0.97,0.69,0.99,0.63,0.84,0.61,0.85,0.67,0.68
DEWP_1,,,,,,,,,,,
WSPM_0,0.74,0.27,0.72,0.44,0.74,0.26,0.56,0.72,0.72,0.41,0.4
WSPM_1,0.26,,0.25,0.3,0.26,,0.32,0.08,0.16,0.43,0.62
PM10_0,0.59,0.18,0.55,0.75,0.58,,0.52,0.26,0.35,0.81,4.43
PM10_1,0.29,,0.29,0.12,0.29,0.07,0.22,0.36,0.49,0.09,0.18
PM10_2,0.11,,0.11,0.05,0.11,0.01,0.09,0.15,0.55,0.08,0.01
