,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,1.9,1.0,2.18,1.16,3.65,1.29,1.93,4.38
PRES_0,1.0,1.0,,1.0,2.18,1.16,3.65,1.29,1.93,4.39
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,1.91,1.0,1.34,1.16,3.64,1.29,1.93,4.38
DEWP_0,0.97,0.98,,0.82,191.45,1.05,5.31,1.45,1.95,
WSPM_0,1.0,1.0,2.22,1.0,1.44,1.17,3.34,1.29,1.93,4.59
WSPM_1,1.0,1.0,,1.0,6.55,1.15,5.43,1.29,1.92,3.18
PM10_0,1.0,1.0,2.82,1.0,2.93,1.16,3.87,1.46,1.39,2.34
PM10_1,1.0,1.0,,1.0,,1.16,3.12,0.99,3.22,7.44
PM10_2,1.0,1.0,,1.0,,1.17,3.18,0.61,3.32,73.97
