,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,1.04,0.93,0.82,0.74,0.31,0.4,0.52,0.55,0.37,0.46,0.41,0.53,,0.51,,0.6,1.17,0.79,1.18,0.78,1.24,1.24,,1.24,,1.24,,1.24,0.56
ENE,0.9,1.01,0.65,0.97,,0.36,0.74,0.45,,,0.39,0.75,0.37,0.45,,,1.2,0.76,1.21,0.74,1.25,1.25,,1.25,,1.25,,1.25,0.59
ESE,1.07,0.85,1.06,0.53,0.37,0.31,0.35,0.84,0.57,0.59,,0.5,,,0.53,,1.18,0.92,1.22,0.8,1.28,1.28,,1.27,,1.27,,1.25,0.73
NE,0.76,0.94,0.57,1.11,,,0.95,0.44,,,,0.76,0.45,0.48,,,1.28,0.61,1.27,0.64,1.29,1.29,,1.29,,1.29,,1.29,0.59
SSW,0.46,,0.61,,1.23,1.04,,0.69,1.1,0.71,0.64,,,,,0.41,1.26,0.74,1.27,0.75,1.31,1.31,,1.31,,1.31,,1.19,1.04
SW,0.4,0.47,0.59,,1.03,1.24,,0.44,0.9,0.83,0.94,,,,0.53,0.46,1.28,0.69,1.3,0.5,1.31,1.31,,1.31,,1.31,,1.13,1.18
NNE,0.79,0.97,0.63,0.98,,,1.18,,,,,0.84,0.54,0.84,,,1.31,0.71,1.31,0.66,1.33,1.33,,1.33,,1.33,,1.31,0.7
SE,0.81,0.62,0.98,0.5,0.59,0.59,,1.19,0.6,0.97,,,,,,,1.23,0.97,1.24,0.98,1.33,1.33,,1.33,,1.33,,1.29,0.82
S,0.59,,0.67,,1.1,0.73,,0.9,1.13,1.07,0.48,,,,,,1.25,0.91,1.28,0.75,1.34,1.34,,1.34,,1.34,,1.31,0.75
SSE,0.72,,1.01,,0.87,0.56,,1.02,0.94,1.14,,,,,,,1.27,0.93,1.28,0.89,1.35,1.35,,1.35,,1.35,,1.29,0.9
WSW,0.53,0.43,,,0.91,1.18,,,0.8,,1.36,,,,,0.83,1.34,0.66,1.34,0.63,1.35,1.35,,1.35,,1.35,,1.27,0.99
N,0.63,0.72,0.53,0.92,,,1.13,,,,,1.23,0.65,0.75,0.59,,1.33,0.75,1.32,0.82,1.36,1.35,,1.35,,1.36,,1.34,0.7
NW,,0.76,,0.59,,,0.59,,,,,0.82,1.45,1.13,0.99,0.76,1.39,,1.39,,1.4,1.4,,1.39,,1.4,,1.26,1.14
NNW,0.62,0.7,,0.79,,,0.8,,,,,0.99,1.28,1.29,0.95,,1.4,0.79,1.41,,1.42,1.42,,1.42,,1.41,,1.3,1.12
WNW,,,0.68,,,0.63,,,,,,0.74,1.39,0.86,1.28,1.25,1.43,0.69,1.44,,1.45,1.45,,1.44,,1.45,,1.36,1.04
W,0.49,,,,0.9,1.08,,,,,1.49,,0.76,,0.74,1.16,1.42,0.73,1.39,,1.45,1.45,,1.46,,1.45,,1.39,0.95
PM2.5_0,0.6,0.6,0.54,0.57,0.55,0.56,0.54,0.5,0.51,0.48,0.51,0.51,0.48,0.46,0.44,0.44,1.03,0.3,1.03,0.34,1.02,1.02,,1.02,0.29,1.02,0.3,0.97,0.66
PM2.5_1,0.87,0.8,0.92,0.59,0.61,0.46,0.54,0.73,0.61,0.77,0.5,0.61,,0.31,0.39,0.38,0.6,1.66,0.85,1.53,1.25,1.25,,1.25,,1.25,,1.25,0.57
PM10_0,0.6,0.6,0.55,0.57,0.55,0.54,0.52,0.5,0.51,0.48,0.51,0.51,0.48,0.46,0.44,0.44,1.01,0.47,1.02,0.35,1.01,1.01,,1.01,0.29,1.01,0.29,0.97,0.65
PM10_1,0.86,0.81,0.91,0.61,0.63,0.69,0.63,0.76,0.67,0.78,0.42,0.55,,,,,0.87,1.51,0.75,1.66,1.27,1.27,,1.27,,1.27,,1.26,0.65
TEMP_1,0.6,0.59,0.57,0.55,0.54,0.53,0.51,0.51,0.51,0.5,0.49,0.49,0.46,0.44,0.42,0.42,0.96,0.6,0.97,0.57,1.0,1.0,,1.0,0.27,1.0,0.27,0.96,0.63
PRES_0,0.61,0.59,0.57,0.55,0.54,0.53,0.51,0.51,0.51,0.5,0.49,0.49,0.46,0.43,0.42,0.42,0.96,0.6,0.97,0.57,1.0,1.0,,1.0,0.27,1.0,0.27,0.96,0.63
PRES_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEWP_1,0.6,0.59,0.57,0.55,0.54,0.53,0.51,0.51,0.51,0.5,0.49,0.49,0.46,0.43,0.42,0.42,0.96,0.6,0.97,0.57,1.0,1.0,,1.0,,1.0,0.27,0.96,0.63
DEWP_0,,,,,,,,,,,,,,,,,1.8,,1.79,,1.75,1.75,,,3.87,1.75,,1.22,1.98
RAIN_0,0.61,0.59,0.57,0.55,0.53,0.53,0.51,0.51,0.51,0.5,0.49,0.49,0.46,0.44,0.42,0.42,0.96,0.6,0.97,0.57,1.0,1.0,,1.0,0.27,1.0,0.23,0.96,0.63
RAIN_1,,,,,,,,,,,,,,,,,1.59,,1.62,,1.75,1.75,,1.75,,1.47,2.79,1.16,2.24
WSPM_0,0.63,0.62,0.58,0.57,0.53,0.51,0.53,0.52,0.51,0.5,0.5,0.5,0.43,0.42,0.4,0.43,0.98,0.6,0.98,0.58,1.02,1.02,,1.02,0.2,1.01,0.29,1.01,0.51
WSPM_1,0.58,0.58,0.63,0.55,0.76,0.81,0.52,0.56,0.7,0.61,0.62,0.58,0.76,0.68,0.64,0.48,1.16,0.77,1.19,0.67,1.22,1.22,,1.21,0.58,1.22,0.37,0.94,1.28
