,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,0.88,0.89,0.81,0.91,0.93,0.92,0.81,0.76,0.77,0.78,1.01,0.85,0.99,0.77,0.82,0.77,1.72,0.97,1.72,0.97,1.77,1.76,,1.76,,1.76,0.53,1.66,1.05
ENE,0.9,0.87,0.81,0.86,1.14,0.91,0.75,0.8,0.81,0.88,1.03,0.79,0.84,0.69,0.86,1.09,1.74,1.02,1.75,0.99,1.81,1.81,,1.81,,1.81,0.57,1.71,1.06
ESE,0.98,1.1,0.87,0.99,0.86,1.0,1.08,0.81,0.89,0.74,0.88,0.98,0.84,0.78,0.93,0.81,1.87,1.02,1.86,0.97,1.91,1.91,,1.91,,1.91,0.48,1.8,1.13
NE,0.97,0.91,1.07,0.85,1.28,1.33,0.77,0.92,1.07,0.94,1.19,0.81,0.8,0.75,0.87,1.23,1.88,1.32,1.88,1.23,1.96,1.96,,1.96,,1.96,0.48,1.85,1.07
SSW,1.44,1.23,1.21,1.37,0.83,0.87,1.59,1.02,0.83,0.94,0.77,1.14,0.93,0.93,0.73,0.63,1.94,1.37,1.96,1.18,2.03,2.03,,2.03,,2.03,,1.92,1.19
SW,1.36,1.33,1.27,1.08,0.9,0.83,1.16,1.12,0.97,1.11,0.73,0.85,0.93,0.91,0.87,0.54,1.93,1.41,1.96,1.08,2.04,2.04,,2.04,,2.04,,1.94,1.18
NNE,1.15,1.05,1.07,0.95,1.21,1.24,0.83,0.88,0.9,0.85,1.46,0.86,0.94,0.93,0.82,1.08,2.03,1.47,2.05,1.38,2.14,2.13,,2.13,,2.13,,2.02,1.12
SE,1.22,1.24,1.03,1.31,0.9,1.03,1.62,0.86,0.86,0.81,0.97,1.2,1.22,0.91,0.76,0.96,2.09,1.24,2.08,1.13,2.15,2.15,,2.15,,2.15,,2.02,1.39
S,1.49,1.68,1.21,1.44,0.87,0.92,1.97,1.01,0.84,0.86,0.88,1.06,1.1,,0.78,0.67,2.06,1.38,2.1,1.18,2.16,2.15,,2.15,,2.15,,2.06,1.28
SSE,1.31,1.39,1.22,1.6,0.95,0.91,1.76,0.97,0.88,0.84,0.78,1.29,1.01,1.13,1.05,0.83,2.14,1.26,2.15,1.14,2.22,2.22,,2.22,,2.22,,2.1,1.31
