,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,1.18,1.0,1.24,1.07,1.57,1.09,1.24,1.62
PRES_0,1.0,1.0,,1.0,1.24,1.07,1.57,1.09,1.24,1.62
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,1.19,1.0,0.8,1.07,1.56,1.09,1.24,1.64
DEWP_0,1.03,1.04,,0.82,14.29,0.9,2.23,1.24,,
WSPM_0,1.0,1.0,1.28,1.0,0.82,1.08,1.42,1.09,1.23,1.68
WSPM_1,1.0,1.0,,1.0,2.59,1.02,2.25,1.08,1.26,1.2
PM10_0,1.0,1.0,1.44,1.0,1.47,1.07,1.66,1.2,0.93,1.16
PM10_1,1.0,1.0,,1.0,,1.08,1.33,0.83,1.77,1.96
PM10_2,1.0,1.0,,1.0,,1.06,1.52,0.53,1.78,8.52
