,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE,1.0,0.99,1.0,0.92,0.9,0.89,0.82,0.85,0.86,0.85,0.95,0.88,0.79,0.82,0.85,0.92,1.4,1.07,1.39,1.14,1.29,1.29,1.3,1.26,1.3,1.28,1.45,0.53,1.39,1.04
E,1.0,1.0,1.0,0.94,0.91,0.88,0.88,0.85,0.91,0.87,0.91,0.86,0.85,0.82,0.78,0.85,1.42,1.05,1.42,1.1,1.31,1.3,1.3,1.3,1.31,1.31,1.47,0.43,1.41,1.08
NE,0.99,0.98,1.0,0.91,0.97,0.97,0.87,0.88,0.88,0.84,0.99,0.86,0.78,0.78,0.84,0.95,1.42,1.13,1.4,1.18,1.3,1.3,1.33,1.29,1.32,1.3,1.48,0.57,1.41,1.04
ESE,1.07,1.05,1.04,1.0,0.96,0.85,0.91,0.97,0.96,0.96,0.95,0.9,0.92,0.87,0.84,0.83,1.49,1.11,1.48,1.16,1.39,1.34,1.37,1.35,1.37,1.37,1.55,0.42,1.48,1.19
SW,1.13,1.1,1.05,1.06,1.0,1.06,1.02,0.99,0.97,1.07,0.9,1.02,1.0,0.99,1.01,0.79,1.51,1.09,1.52,1.02,1.44,1.37,1.37,1.47,1.36,1.44,1.57,0.43,1.5,1.3
NW,1.09,1.14,1.05,1.22,1.01,1.0,1.13,0.92,1.06,0.92,0.91,0.91,0.94,1.02,0.91,0.87,1.49,2.02,1.48,1.63,1.39,1.38,1.5,1.36,1.54,1.37,1.57,0.73,1.52,1.21
SSW,1.22,1.16,1.2,1.13,1.03,1.08,1.0,1.18,1.01,1.13,0.92,1.01,0.97,0.99,1.04,0.82,1.58,1.18,1.57,1.16,1.5,1.46,1.44,1.55,1.43,1.48,1.63,,1.57,1.35
NNE,1.14,1.11,1.13,1.04,0.99,1.03,0.88,1.0,0.88,0.97,1.02,1.0,0.79,0.8,0.93,0.95,1.55,1.33,1.55,1.37,1.44,1.48,1.48,1.42,1.49,1.41,1.64,0.83,1.56,1.13
SE,1.15,1.09,1.1,1.04,1.07,0.96,1.01,1.1,1.0,1.08,0.97,0.89,0.98,0.98,0.81,0.86,1.6,1.15,1.6,1.19,1.51,1.44,1.45,1.48,1.44,1.46,1.64,0.42,1.58,1.39
N,1.14,1.11,1.15,1.02,1.02,1.04,0.91,1.01,0.93,1.0,0.93,1.0,0.93,0.9,0.91,0.8,1.56,1.46,1.55,1.44,1.48,1.44,1.51,1.4,1.52,1.43,1.65,,1.57,1.2
WSW,0.95,1.01,0.93,0.98,1.16,1.19,1.2,0.94,1.01,1.04,1.0,1.07,1.14,1.07,0.98,0.86,1.61,1.06,1.62,1.05,1.52,1.38,1.45,1.52,1.42,1.54,1.66,0.57,1.58,1.47
NNW,1.16,1.17,1.17,1.06,1.01,1.07,1.05,1.01,1.1,1.0,0.92,1.0,1.03,1.02,0.99,0.78,1.59,1.96,1.57,1.74,1.5,1.45,1.57,1.45,1.62,1.44,1.67,,1.6,1.29
S,1.25,1.2,1.24,1.14,1.05,1.14,1.02,1.25,1.05,1.13,0.97,1.01,1.0,0.98,1.02,0.84,1.65,1.2,1.66,1.21,1.55,1.51,1.5,1.58,1.5,1.51,1.7,,1.63,1.4
SSE,1.24,1.2,1.26,1.2,1.07,1.01,1.02,1.22,1.03,1.16,0.97,1.03,1.04,1.0,0.92,0.85,1.68,1.22,1.69,1.27,1.59,1.5,1.54,1.59,1.53,1.54,1.73,0.51,1.66,1.43
WNW,1.26,1.23,1.21,1.22,1.02,1.14,1.07,1.12,1.17,1.09,1.05,1.02,1.05,1.1,1.0,1.04,1.64,1.92,1.63,1.63,1.56,1.53,1.6,1.5,1.66,1.51,1.74,,1.68,1.33
W,1.08,1.1,1.06,1.16,1.3,1.27,1.24,1.0,1.15,1.17,1.2,1.24,1.22,1.15,1.05,1.0,1.76,1.25,1.76,1.26,1.65,1.58,1.63,1.63,1.6,1.61,1.84,,1.77,1.58
PM2.5_0,0.71,0.7,0.7,0.66,0.65,0.69,0.62,0.64,0.62,0.65,0.62,0.65,0.6,0.59,0.62,0.56,1.0,0.78,1.0,0.79,0.94,0.91,0.93,0.92,0.93,0.92,1.04,0.37,1.0,0.82
PM2.5_1,0.92,0.93,0.89,0.9,0.91,0.62,0.88,0.77,0.88,0.69,0.88,0.6,0.86,0.83,0.56,0.74,1.27,1.0,1.24,1.03,1.19,1.18,1.17,1.17,1.17,1.15,1.32,,1.27,0.85
PM10_0,0.72,0.7,0.71,0.67,0.65,0.69,0.62,0.65,0.62,0.66,0.61,0.65,0.6,0.59,0.62,0.56,1.0,0.8,1.0,0.8,0.94,0.91,0.94,0.92,0.94,0.93,1.04,0.37,1.0,0.82
PM10_1,0.9,0.9,0.87,0.87,0.94,0.64,0.9,0.75,0.86,0.68,0.92,0.62,0.86,0.82,0.6,0.75,1.26,0.97,1.25,1.0,1.17,1.15,1.16,1.14,1.15,1.15,1.3,,1.25,0.89
TEMP_1,0.77,0.77,0.77,0.72,0.7,0.72,0.68,0.7,0.68,0.68,0.66,0.67,0.65,0.64,0.65,0.61,1.07,0.85,1.06,0.85,1.0,0.98,1.0,0.99,0.99,0.98,1.11,0.36,1.07,0.86
TEMP_0,0.77,0.76,0.76,0.74,0.74,0.72,0.71,0.68,0.69,0.68,0.69,0.68,0.67,0.67,0.65,0.62,1.09,0.86,1.09,0.88,1.02,1.0,1.01,1.0,1.01,1.01,1.14,,1.09,0.88
PRES_0,0.76,0.76,0.75,0.72,0.73,0.69,0.7,0.67,0.69,0.66,0.69,0.65,0.68,0.66,0.63,0.61,1.07,0.84,1.07,0.85,1.01,0.97,1.0,0.99,1.0,1.0,1.12,0.37,1.07,0.86
PRES_1,0.78,0.76,0.77,0.73,0.69,0.74,0.66,0.7,0.68,0.7,0.66,0.69,0.64,0.64,0.66,0.61,1.09,0.85,1.08,0.88,1.02,1.0,1.01,1.0,1.02,1.0,1.13,0.4,1.08,0.88
DEWP_1,0.77,0.76,0.76,0.73,0.73,0.68,0.7,0.67,0.69,0.66,0.69,0.64,0.66,0.66,0.62,0.61,1.07,0.84,1.07,0.86,1.01,0.98,1.0,0.98,1.0,0.99,1.12,0.37,1.07,0.86
DEWP_0,0.78,0.76,0.77,0.72,0.7,0.74,0.67,0.71,0.68,0.7,0.66,0.7,0.66,0.64,0.67,0.61,1.09,0.86,1.08,0.87,1.02,0.99,1.01,1.0,1.01,1.0,1.13,,1.08,0.88
RAIN_0,0.69,0.68,0.68,0.65,0.64,0.64,0.61,0.61,0.61,0.61,0.6,0.6,0.59,0.58,0.57,0.54,0.96,0.75,0.96,0.77,0.9,0.88,0.89,0.88,0.89,0.88,1.0,0.33,0.96,0.77
RAIN_1,2.06,2.07,1.76,2.19,,,,1.34,2.04,,,,,,,,2.89,,2.92,,2.77,,2.72,,2.72,,3.05,1.0,2.86,2.83
WSPM_0,0.71,0.7,0.7,0.67,0.67,0.66,0.64,0.63,0.63,0.62,0.64,0.62,0.61,0.6,0.58,0.57,1.0,0.75,1.0,0.78,0.94,0.92,0.93,0.92,0.92,0.92,1.04,0.35,1.0,0.81
WSPM_1,0.95,0.94,0.94,0.85,0.8,0.84,0.8,0.84,0.78,0.82,0.73,0.79,0.75,0.77,0.78,0.7,1.24,1.37,1.23,1.15,1.18,1.13,1.19,1.14,1.2,1.14,1.29,0.41,1.24,1.0
