,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,1853.04,1.01,539.53,1.36,28.0,1.95,7.07,572.89
PRES_0,1.0,1.0,1060.08,1.01,540.15,1.36,28.01,1.95,7.07,573.54
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,1861.27,1.01,361.29,1.36,27.96,1.95,7.07,569.61
DEWP_0,0.92,0.93,,0.83,40691.05,1.23,36.61,2.04,7.03,
WSPM_0,1.0,1.0,2167.16,1.01,379.95,1.36,26.25,1.95,7.04,583.5
WSPM_1,1.0,1.0,,1.01,1480.92,1.36,38.33,1.96,7.21,510.32
PM10_0,1.0,1.0,2754.59,1.01,724.41,1.36,29.52,2.18,5.36,327.71
PM10_1,1.0,1.0,,1.0,,1.36,24.47,1.59,11.22,956.34
PM10_2,1.0,1.0,,1.01,,1.37,23.8,1.1,11.46,8531.99
