,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.09,1.0,0.18,1.07,1.13,1.01,0.93,0.39
PRES_0,1.0,1.0,,1.0,0.18,1.07,1.14,1.01,0.93,0.4
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.09,1.0,0.08,1.08,1.13,1.01,0.93,0.4
DEWP_0,1.0,1.0,,0.59,21.89,0.73,2.45,1.24,,
WSPM_0,1.0,1.0,0.11,1.0,0.09,1.09,0.93,1.01,0.94,0.42
WSPM_1,1.0,1.0,,1.0,0.71,0.98,2.34,1.03,0.88,0.25
PM10_0,1.0,1.0,0.14,1.0,0.24,1.07,1.23,1.23,0.53,0.17
PM10_1,1.0,1.0,,1.0,,1.09,0.91,0.59,1.9,0.63
PM10_2,1.0,1.0,,1.0,,1.07,0.98,0.31,1.81,10.94
