,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.36,1.0,0.5,1.04,1.45,1.07,1.15,0.91
PRES_0,1.0,1.0,0.29,1.0,0.51,1.04,1.45,1.07,1.15,0.92
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.36,1.0,0.44,1.04,1.46,1.07,1.15,0.91
DEWP_0,1.37,1.37,,1.37,5.7,1.43,2.22,1.53,1.83,2.92
WSPM_0,1.01,1.01,0.44,1.01,0.44,1.05,1.45,1.08,1.16,0.9
WSPM_1,1.16,1.16,,1.16,0.93,1.21,1.84,1.24,1.42,1.23
PM10_0,1.03,1.03,0.45,1.03,0.61,1.07,1.54,1.14,1.08,0.81
PM10_1,1.09,1.09,,1.1,0.3,1.14,1.48,1.1,1.51,1.22
PM10_2,1.43,1.43,,1.43,,1.49,1.93,1.39,2.01,4.35
