,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,3.32,1.0,2.27,0.96,0.72,0.94,0.89,1.23
PRES_0,1.0,1.0,4.06,1.0,2.27,0.96,0.72,0.94,0.89,1.23
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,3.3,1.0,2.57,0.96,0.72,0.94,0.89,1.26
DEWP_0,0.02,0.02,,0.02,0.01,0.02,0.01,0.02,0.02,0.01
WSPM_0,0.89,0.89,3.86,0.89,2.14,0.86,0.65,0.84,0.78,1.07
WSPM_1,0.24,0.24,,0.24,0.41,0.23,0.16,0.22,0.24,0.33
PM10_0,0.74,0.74,2.02,0.74,1.63,0.72,0.54,0.68,0.72,1.39
PM10_1,0.39,0.39,,0.39,0.87,0.38,0.27,0.39,0.3,0.33
PM10_2,0.03,0.03,,0.03,,0.03,0.02,0.03,0.02,0.01
