,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,0.94,1.17,1.13,0.87,1.0,1.12,1.12,0.68,1.09,0.84
TEMP_0,1.24,0.92,1.06,1.1,1.23,0.91,1.16,0.7,1.13,0.83
PRES_1,1.01,0.89,0.96,1.1,1.05,0.86,1.06,0.65,1.03,0.79
PRES_0,1.07,1.3,1.45,0.89,1.13,1.36,1.26,0.75,1.23,0.9
DEWP_1,0.92,1.05,1.07,0.84,0.95,1.2,1.07,0.65,1.05,0.77
DEWP_0,1.27,0.98,1.11,1.28,1.56,0.9,1.23,0.74,1.19,0.95
WSPM_0,0.89,0.87,0.95,0.81,0.92,0.88,0.98,0.62,0.97,0.69
WSPM_1,1.48,1.36,1.5,1.5,1.8,1.21,1.63,0.84,1.51,2.15
PM10_0,0.92,0.9,0.98,0.86,0.98,0.87,1.02,0.62,0.97,0.84
PM10_1,1.29,1.21,1.32,1.12,1.29,1.23,1.39,0.75,1.5,0.86
