,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.2,0.62,0.88,1.09,1.13,0.51,1.09,1.06,1.05,1.05,0.67
TEMP_0,0.7,1.25,1.14,0.58,0.76,1.16,1.1,1.08,1.05,1.05,0.79
PRES_1,0.88,1.07,1.13,0.54,0.86,0.99,1.07,1.05,1.03,1.01,0.73
PRES_0,1.2,0.65,0.63,1.36,1.19,0.49,1.14,1.07,1.08,1.11,0.72
DEWP_1,1.12,0.76,0.89,1.02,1.15,0.44,1.08,0.92,0.99,1.09,0.72
DEWP_0,0.72,1.24,1.17,0.57,0.53,1.33,1.11,1.28,1.15,0.96,0.74
WSPM_0,0.96,0.9,0.95,0.84,0.94,0.79,1.05,0.93,0.98,1.01,0.7
WSPM_1,1.07,1.15,1.17,1.04,1.0,1.21,1.19,1.65,1.3,1.08,0.97
PM10_0,0.98,0.93,1.01,0.85,0.93,0.94,1.08,1.25,1.18,0.85,0.54
PM10_1,1.07,1.0,1.02,0.95,1.08,0.79,1.15,0.85,0.97,1.35,0.73
PM10_2,1.06,1.31,1.22,1.14,1.14,0.97,1.31,0.39,0.32,1.34,2.0
