,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE,0.83,0.81,0.83,0.76,0.83,0.86,0.74,0.67,0.72,0.7,0.84,0.78,0.68,0.68,0.74,0.74,1.72,1.11,1.69,1.17,1.58,1.53,1.59,1.51,1.58,1.56,1.81,0.37,1.65,1.12
E,0.85,0.82,0.87,0.76,0.82,0.88,0.76,0.71,0.72,0.73,0.82,0.78,0.71,0.66,0.72,0.72,1.76,1.1,1.75,1.14,1.58,1.59,1.56,1.6,1.58,1.66,1.85,0.32,1.69,1.15
NE,0.85,0.85,0.82,0.79,0.87,0.9,0.79,0.69,0.74,0.7,0.88,0.76,0.68,0.68,0.77,0.76,1.74,1.21,1.71,1.26,1.64,1.53,1.68,1.52,1.66,1.58,1.86,0.46,1.69,1.12
ESE,0.95,0.9,0.96,0.81,0.91,0.91,0.81,0.84,0.76,0.87,0.89,0.85,0.76,0.69,0.79,0.72,1.89,1.19,1.87,1.24,1.7,1.72,1.68,1.73,1.67,1.79,2.0,0.3,1.82,1.26
SW,1.06,1.02,1.0,0.93,0.8,1.07,0.81,0.9,0.84,1.01,0.72,1.02,0.8,0.81,0.91,0.63,1.9,1.27,1.9,1.15,1.77,1.76,1.69,1.91,1.7,1.85,2.04,0.41,1.86,1.32
NW,1.09,1.15,1.0,1.24,1.03,0.78,1.2,0.82,1.1,0.76,0.86,0.69,1.04,1.08,0.67,0.71,1.86,2.8,1.84,2.05,1.87,1.62,2.02,1.64,2.2,1.62,2.05,0.61,1.92,1.18
SSW,1.16,1.08,1.15,1.0,0.87,1.2,0.79,1.07,0.86,1.08,0.8,0.99,0.75,0.78,1.02,0.7,2.03,1.36,2.01,1.32,1.84,1.96,1.78,2.15,1.78,2.02,2.18,,1.99,1.41
NNE,1.04,1.02,1.0,0.95,1.01,0.98,0.84,0.81,0.82,0.79,0.95,0.87,0.76,0.75,0.84,0.83,2.01,1.58,1.99,1.61,1.87,1.9,1.92,1.83,1.93,1.86,2.19,0.65,1.98,1.26
SE,1.09,0.99,1.05,0.88,1.01,1.09,0.89,1.02,0.8,1.04,0.95,0.96,0.81,0.77,0.86,0.78,2.08,1.3,2.07,1.34,1.91,1.9,1.86,1.99,1.82,1.97,2.2,0.31,2.01,1.51
N,1.09,1.05,1.07,0.96,1.01,0.94,0.91,0.84,0.92,0.8,0.87,0.81,0.92,0.88,0.78,0.68,2.02,1.79,2.0,1.75,1.95,1.82,2.03,1.79,2.04,1.82,2.21,0.65,2.01,1.27
WSW,0.95,0.97,0.94,0.94,0.98,1.18,1.01,0.9,0.93,0.99,0.78,1.06,0.99,0.92,0.87,0.65,2.08,1.31,2.08,1.26,1.94,1.82,1.87,2.02,1.86,2.0,2.24,0.52,2.04,1.53
NNW,1.19,1.19,1.11,1.13,1.07,0.89,1.15,0.88,1.2,0.81,0.89,0.77,1.08,1.09,0.78,0.69,2.06,2.66,2.03,2.24,2.07,1.81,2.22,1.81,2.31,1.79,2.26,,2.08,1.33
S,1.2,1.12,1.24,1.01,0.94,1.29,0.85,1.16,0.89,1.14,0.9,1.07,0.79,0.77,1.05,0.77,2.19,1.42,2.18,1.41,1.97,2.08,1.91,2.2,1.91,2.13,2.32,,2.11,1.52
