,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,,0.99,0.7,1.0,0.45,0.96,0.83,0.96,0.82
TEMP_1,,,,,,,,,,
PRES_1,1.01,,0.99,1.01,1.01,0.5,0.98,0.84,0.97,0.85
PRES_0,1.72,,2.45,0.73,1.73,,1.62,1.55,1.79,1.22
DEWP_0,1.0,,0.99,0.7,1.0,,0.96,0.83,0.96,0.82
DEWP_1,3.29,,3.31,,,0.5,3.07,,,2.43
WSPM_0,1.06,,1.06,0.72,1.06,0.47,0.98,1.11,1.05,0.83
WSPM_1,1.31,,1.3,0.99,1.31,,1.58,0.88,1.2,1.55
PM10_0,1.06,,1.04,0.79,1.06,,1.03,0.85,0.97,1.29
PM10_1,1.34,,1.35,0.82,1.35,0.42,1.24,1.34,1.92,0.85
