,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.03,1.0,0.07,0.92,0.38,0.82,0.54,0.09
PRES_0,1.0,1.0,0.03,1.0,0.07,0.93,0.38,0.82,0.54,0.09
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.03,1.0,0.07,0.93,0.38,0.82,0.54,0.09
DEWP_0,15.28,15.27,,15.25,1.02,14.13,5.82,12.53,9.25,1.35
WSPM_0,1.08,1.08,0.05,1.08,0.07,1.0,0.41,0.89,0.57,0.1
WSPM_1,2.64,2.63,,2.63,0.19,2.44,1.0,2.14,1.56,0.31
PM10_0,1.22,1.22,0.04,1.22,0.09,1.13,0.47,1.0,0.65,0.13
PM10_1,1.85,1.85,,1.85,0.09,1.71,0.67,1.52,1.0,0.16
PM10_2,10.57,10.56,,10.54,,9.77,3.75,8.66,5.8,1.0
