,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.36,1.0,0.44,0.98,0.75,0.94,0.83,0.49
PRES_0,1.0,1.0,,1.0,0.44,0.98,0.75,0.94,0.83,0.49
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.36,1.0,0.41,0.98,0.75,0.94,0.83,0.5
DEWP_0,2.42,2.41,,2.55,1.07,2.29,1.59,2.25,,
WSPM_0,1.02,1.02,0.37,1.02,0.41,1.0,0.76,0.97,0.84,0.51
WSPM_1,1.34,1.34,,1.34,0.64,1.31,1.0,1.22,1.21,0.56
PM10_0,1.06,1.06,0.38,1.06,0.48,1.04,0.83,1.0,0.88,0.63
PM10_1,1.2,1.2,,1.2,,1.18,0.8,1.14,1.0,0.54
PM10_2,2.03,2.03,,2.03,,1.96,1.67,1.5,1.8,1.0
