,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.53,1.0,0.46,0.86,0.27,0.78,0.52,0.23
PRES_0,1.0,1.0,,1.0,0.46,0.86,0.27,0.78,0.52,0.23
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.53,1.0,0.66,0.86,0.28,0.78,0.52,0.24
DEWP_0,284.65,284.32,,351.4,1.5,243.39,41.26,191.48,159.75,
WSPM_0,1.17,1.17,0.59,1.16,0.72,1.0,0.35,0.91,0.59,0.26
WSPM_1,6.95,6.94,,6.95,1.26,6.04,1.28,5.16,4.22,1.7
PM10_0,1.49,1.49,0.53,1.48,0.57,1.28,0.41,1.02,1.06,0.84
PM10_1,3.45,3.45,,3.44,,2.96,0.91,3.48,1.07,0.4
PM10_2,113.13,113.0,,112.63,,96.73,35.53,152.21,38.73,1.53
