,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.37,1.0,0.34,0.86,0.2,0.73,0.43,0.14
PRES_0,1.0,1.0,0.56,1.0,0.34,0.86,0.2,0.73,0.43,0.14
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.37,1.0,0.45,0.86,0.2,0.73,0.43,0.15
DEWP_0,11.0,10.99,,10.96,0.06,9.41,1.59,7.4,4.3,0.13
WSPM_0,1.07,1.06,0.54,1.06,0.43,0.91,0.22,0.78,0.45,0.15
WSPM_1,2.19,2.18,,2.18,0.39,1.87,0.36,1.56,1.1,0.34
PM10_0,1.18,1.17,0.29,1.17,0.35,1.01,0.23,0.8,0.6,0.34
PM10_1,1.64,1.64,,1.63,0.74,1.4,0.31,1.34,0.5,0.12
PM10_2,6.63,6.62,,6.6,,5.67,1.31,6.32,2.11,0.08
