,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_1,1.22,0.75,1.17,0.64,0.85,1.34,1.01,1.02,1.01,1.02
TEMP_0,0.67,1.37,0.74,1.55,1.22,0.49,0.99,0.97,0.98,0.97
PRES_0,1.16,0.84,1.24,0.53,0.88,1.29,1.01,1.01,1.0,1.02
PRES_1,0.69,1.31,0.54,1.89,1.23,0.44,0.99,0.98,0.99,0.96
DEWP_0,0.85,1.26,0.84,1.36,1.29,0.51,0.99,0.99,0.99,1.0
DEWP_1,1.19,0.66,1.2,0.55,0.63,1.63,1.01,1.02,1.01,1.0
WSPM_0,0.99,1.01,0.99,1.03,0.97,1.01,1.0,0.99,0.99,1.0
WSPM_1,1.01,0.99,1.02,0.93,1.06,0.98,0.99,1.03,1.02,1.0
PM10_0,0.99,0.98,0.97,1.0,1.0,1.0,1.0,1.01,1.04,0.84
PM10_1,1.03,1.06,1.07,1.0,1.01,1.01,1.01,0.96,0.89,1.45
