,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_0,1.01,,1.33,43160.01,1.01,13701663265.94,3.36,214.3,8.48,138.69,6534.83
TEMP_1,,,,,,,,,,,
PRES_1,1.01,,1.42,7087.1,1.01,10835831942.64,3.34,219.17,8.83,130.45,6140.65
PRES_0,1.01,,0.22,525899.37,1.01,,3.75,145.16,3.99,246.63,11702.35
DEWP_0,1.01,,1.34,42658.14,1.01,,3.36,214.28,8.52,138.04,6482.55
DEWP_1,1.01,,0.98,,,3201255087264.0,3.84,,,,
WSPM_0,1.01,,1.32,48019.76,1.01,15605611624.71,4.17,69.09,7.11,170.93,8129.41
WSPM_1,1.01,,1.37,29235.63,1.01,,1.08,623.26,12.4,47.0,2001.9
PM10_0,1.0,,1.39,21207.54,1.01,,2.77,320.58,13.64,25.23,
PM10_1,1.01,,1.26,74415.21,1.01,,4.2,63.95,1.56,400.8,2600.8
PM10_2,1.0,,1.25,79006.96,1.01,,4.26,50.93,,55.88,50936.42
