,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,,0.98,0.57,1.0,0.3,0.91,0.71,0.93,0.73
TEMP_1,,,,,,,,,,
PRES_1,1.02,0.26,0.99,0.71,1.02,0.33,0.93,0.72,0.95,0.75
PRES_0,2.05,,2.34,0.76,2.06,,1.89,1.45,2.01,1.28
DEWP_0,1.0,0.26,0.98,0.57,1.0,0.32,0.91,0.71,0.93,0.72
DEWP_1,4.83,,4.17,,5.0,0.57,4.6,,,3.35
WSPM_0,1.08,0.26,1.07,0.59,1.08,0.29,0.97,0.85,1.03,0.73
WSPM_1,1.44,,1.4,1.03,1.43,,1.41,0.88,1.29,1.7
PM10_0,1.08,0.25,1.06,0.66,1.08,,0.99,0.75,0.97,0.93
PM10_1,1.48,,1.45,0.75,1.48,0.29,1.34,1.08,1.63,0.87
