,TEMP_0,TEMP_1,PRES_1,PRES_0,DEWP_0,DEWP_1,WSPM_0,WSPM_1,PM10_0,PM10_1
TEMP_0,1.0,0.22,0.98,0.55,1.0,0.27,0.93,0.74,0.94,0.72
TEMP_1,,,,,,,,,,
PRES_1,1.02,0.23,1.0,0.56,1.02,0.28,0.95,0.76,0.95,0.73
PRES_0,1.82,,1.79,1.0,1.82,0.44,1.71,1.13,1.72,1.32
DEWP_0,1.0,0.22,0.98,0.55,1.0,0.27,0.93,0.74,0.94,0.72
DEWP_1,3.72,,3.76,,3.71,1.0,3.67,,3.07,3.13
WSPM_0,1.07,0.23,1.05,0.55,1.07,0.21,1.0,0.79,1.01,0.73
WSPM_1,1.35,,1.33,1.0,1.35,,1.26,1.0,1.25,1.48
PM10_0,1.07,0.25,1.05,0.61,1.07,0.48,0.99,0.82,1.0,0.77
PM10_1,1.38,,1.36,0.72,1.38,0.26,1.3,0.81,1.29,1.0
