,TEMP_1,TEMP_0,PRES_1,PRES_0,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.05,0.9,1.24,0.93,1.16,0.79,1.91,0.97,1.24,2.44
TEMP_0,0.94,1.0,0.84,1.17,0.87,1.11,0.74,1.78,0.92,1.18,2.29
PRES_1,1.11,1.19,1.0,1.39,1.03,1.31,0.88,2.11,1.08,1.39,2.76
PRES_0,0.8,0.83,0.71,1.0,0.74,0.95,0.64,1.53,0.78,1.0,1.89
DEWP_1,1.08,1.15,0.97,1.34,1.0,1.24,0.85,1.98,1.05,1.35,2.63
DEWP_0,0.84,0.9,0.76,1.05,0.79,1.0,0.67,1.66,0.83,1.05,2.07
WSPM_0,1.27,1.34,1.14,1.57,1.17,1.5,1.0,2.4,1.24,1.57,3.05
WSPM_1,0.53,0.56,0.47,0.68,0.52,0.61,0.42,1.0,0.5,0.77,1.94
PM10_0,1.02,1.09,0.92,1.28,0.96,1.21,0.81,2.03,1.0,1.27,5.21
PM10_1,0.81,0.86,0.72,0.99,0.74,0.96,0.63,1.33,0.81,1.0,1.8
PM10_2,0.41,0.43,0.36,0.52,0.38,0.47,0.32,0.51,0.17,0.53,1.0
