,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.31,1.0,0.34,0.91,0.41,0.84,0.62,0.26
PRES_0,1.0,1.0,,1.0,0.34,0.91,0.41,0.84,0.62,0.26
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.31,1.0,0.4,0.91,0.41,0.84,0.62,0.27
DEWP_0,9.01,9.01,,10.12,0.34,8.01,2.54,7.04,5.95,
WSPM_0,1.06,1.06,0.33,1.06,0.41,0.96,0.45,0.89,0.64,0.28
WSPM_1,2.07,2.07,,2.07,0.47,1.9,0.7,1.68,1.44,0.53
PM10_0,1.16,1.16,0.3,1.16,0.38,1.06,0.49,0.91,0.84,0.52
PM10_1,1.59,1.59,,1.59,,1.44,0.61,1.52,0.76,0.29
PM10_2,5.89,5.89,,5.87,,5.34,2.59,6.19,3.05,0.38
