,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.26,1.0,0.34,0.97,0.68,0.92,0.78,0.39
PRES_0,1.0,1.0,0.26,1.0,0.34,0.97,0.68,0.92,0.78,0.39
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.26,1.0,0.33,0.97,0.68,0.92,0.78,0.4
DEWP_0,3.19,3.19,,3.22,1.09,3.05,1.98,2.94,2.61,
WSPM_0,1.03,1.03,0.3,1.03,0.33,1.0,0.7,0.95,0.79,0.4
WSPM_1,1.48,1.48,,1.48,0.56,1.43,1.0,1.35,1.26,0.56
PM10_0,1.08,1.08,0.28,1.08,0.39,1.05,0.76,1.0,0.84,0.48
PM10_1,1.28,1.28,,1.28,,1.24,0.8,1.18,1.0,0.46
PM10_2,2.57,2.57,,2.57,,2.5,1.56,2.19,2.14,1.0
