,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,0.05,1.0,0.1,1.06,0.93,0.97,0.82,0.25
PRES_0,1.0,1.0,,1.0,0.1,1.06,0.94,0.97,0.82,0.25
PRES_1,,,,,,,,,,
DEWP_1,1.0,1.0,0.05,1.0,0.05,1.06,0.93,0.97,0.82,0.25
DEWP_0,1.0,1.0,,0.59,12.73,0.72,2.02,1.19,,
WSPM_0,1.0,1.0,0.06,1.0,0.05,1.07,0.77,0.97,0.83,0.26
WSPM_1,1.0,1.0,,1.0,0.41,0.97,1.93,0.99,0.78,0.16
PM10_0,1.0,1.0,0.07,1.0,0.14,1.05,1.01,1.19,0.46,0.11
PM10_1,1.0,1.0,,1.0,,1.07,0.75,0.57,1.68,0.4
PM10_2,1.0,1.0,,1.0,,1.05,0.81,0.3,1.6,6.82
