,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,WSPM_0,WSPM_1,PM10_0,PM10_1,PM10_2
TEMP_1,1.0,1.0,778629.76,1.01,51191.96,1.37,47.52,2.21,11.92,12797.99
PRES_0,1.0,1.0,776865.96,1.01,51076.0,1.36,47.39,2.2,11.89,12769.0
PRES_1,,,,,,,,,,
DEWP_1,0.99,0.99,771762.25,1.0,48810.44,1.36,47.1,2.19,11.81,12918.5
DEWP_0,,,,,1.09,,,,,
WSPM_0,0.73,0.73,632708.51,0.74,35010.1,1.0,34.69,1.62,8.59,9397.91
WSPM_1,0.02,0.02,,0.02,1214.83,0.03,1.0,0.05,0.28,261.3
PM10_0,0.45,0.45,352360.96,0.46,24850.59,0.62,22.18,1.0,5.37,6601.27
PM10_1,0.08,0.08,,0.08,,0.11,3.66,0.19,1.0,996.03
PM10_2,,,,,,,,,,1.0
