,E,ENE,ESE,NE,SSW,SW,NNE,SE,S,SSE,WSW,N,NW,NNW,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
E,1.0,0.99,0.92,0.98,0.87,0.86,0.85,0.85,0.78,0.84,0.96,0.88,0.98,0.82,0.84,0.8,1.41,0.91,1.4,0.95,1.43,1.43,,1.43,,1.43,0.58,1.39,0.97
ENE,0.99,1.0,0.87,0.99,1.0,0.83,0.86,0.82,0.75,0.83,0.98,0.89,0.87,0.74,0.91,1.11,1.41,0.94,1.42,0.94,1.45,1.45,,1.45,,1.45,0.63,1.41,0.97
ESE,1.07,1.14,1.0,0.97,0.83,0.93,1.02,0.93,0.93,0.81,0.81,0.96,0.78,0.75,0.94,0.84,1.47,0.99,1.47,0.95,1.5,1.5,,1.5,,1.5,0.53,1.46,1.07
NE,0.99,1.01,1.04,1.0,1.03,1.14,0.91,0.86,0.9,0.8,1.12,0.91,0.83,0.82,0.9,1.23,1.49,1.05,1.5,1.06,1.53,1.53,,1.53,,1.53,0.55,1.49,0.94
SSW,1.26,1.02,1.15,1.06,1.0,1.01,1.18,1.05,0.99,1.04,0.83,0.95,0.76,0.74,0.68,0.67,1.52,1.16,1.54,1.05,1.56,1.56,,1.56,,1.56,,1.51,1.2
SW,1.17,1.16,1.16,0.92,1.04,1.0,0.95,1.08,1.08,1.15,0.86,0.72,0.8,0.8,0.88,0.61,1.51,1.15,1.53,0.94,1.57,1.57,,1.57,,1.57,,1.53,1.19
NNE,1.11,1.11,0.98,1.06,0.89,0.99,1.0,0.78,0.69,0.69,1.25,0.99,0.94,1.05,0.85,1.06,1.57,1.13,1.58,1.13,1.61,1.61,,1.61,,1.61,,1.57,0.98
SE,1.21,1.15,1.11,1.16,0.88,0.97,1.41,1.0,0.92,0.94,0.89,1.07,1.02,0.79,0.66,0.94,1.58,1.13,1.57,1.07,1.62,1.62,,1.62,,1.62,,1.57,1.27
S,1.34,1.41,1.19,1.12,1.0,0.99,1.48,1.08,1.0,0.98,0.89,0.89,0.93,,0.69,0.67,1.56,1.2,1.59,1.05,1.62,1.62,,1.62,,1.62,,1.6,1.23
SSE,1.23,1.21,1.25,1.3,1.0,0.91,1.42,1.09,0.99,1.0,0.75,1.12,0.84,0.91,0.91,0.82,1.6,1.11,1.61,1.05,1.65,1.65,,1.65,,1.65,,1.62,1.22
WSW,1.08,1.0,1.08,0.9,1.22,1.12,0.73,1.17,1.22,1.45,1.0,0.82,0.88,0.69,0.76,0.8,1.61,1.15,1.61,1.13,1.66,1.66,,1.66,,1.66,,1.61,1.36
N,1.11,1.12,0.94,1.03,1.23,1.39,1.04,0.89,1.17,0.85,1.18,1.01,0.91,0.96,0.91,0.85,1.61,1.24,1.62,1.23,1.67,1.67,,1.66,,1.66,,1.62,0.97
NW,0.97,1.12,1.26,1.2,1.46,1.08,1.14,0.91,1.21,1.09,1.15,1.02,1.0,1.02,0.93,0.87,1.68,1.88,1.7,1.6,1.75,1.74,,1.75,,1.75,,1.71,1.35
NNW,1.27,1.27,1.34,1.2,1.22,1.31,1.05,1.21,,0.97,1.3,1.14,1.02,1.0,0.99,1.06,1.73,1.88,1.75,1.73,1.81,1.82,,1.82,,1.81,,1.76,1.23
WNW,1.06,1.14,1.12,1.15,1.35,1.18,1.23,1.28,1.47,1.07,1.25,1.08,1.07,0.95,1.0,1.17,1.81,1.53,1.82,1.39,1.86,1.86,,1.85,,1.86,,1.83,1.32
W,1.2,0.91,1.14,0.75,1.49,1.45,0.93,1.11,1.5,1.3,1.33,1.09,1.2,1.01,0.88,1.0,1.84,1.32,1.83,1.49,1.87,1.87,,1.87,,1.87,,1.82,1.69
PM2.5_0,0.71,0.7,0.68,0.67,0.66,0.66,0.63,0.63,0.64,0.63,0.62,0.63,0.6,0.58,0.56,0.55,1.0,0.7,1.01,0.67,1.03,1.03,0.32,1.03,0.41,1.03,0.45,1.0,0.76
