,ENE,E,NE,ESE,SW,NW,SSW,NNE,SE,N,WSW,NNW,S,SSE,WNW,W,PM2.5_0,PM2.5_1,PM10_0,PM10_1,TEMP_1,TEMP_0,PRES_0,PRES_1,DEWP_1,DEWP_0,RAIN_0,RAIN_1,WSPM_0,WSPM_1
ENE,2.71,1.92,1.92,1.22,0.63,0.58,0.63,1.35,0.93,0.99,0.78,0.73,0.69,0.82,0.61,0.86,0.59,1.48,0.64,1.45,0.81,1.14,0.86,1.14,0.97,0.93,,1.35,5.89,0.49
E,1.84,2.29,1.16,1.9,0.73,0.47,0.81,0.91,1.38,0.77,0.74,0.58,0.91,1.08,0.51,0.75,0.58,1.36,0.62,1.36,1.01,0.88,1.08,0.9,1.21,0.77,,1.23,14.32,0.52
NE,1.61,1.07,2.82,0.76,0.7,0.87,0.56,1.54,0.84,1.05,0.72,0.8,0.54,0.57,0.66,0.92,0.75,1.19,0.71,1.13,0.66,1.38,0.68,1.42,0.8,1.18,,1.27,2.34,0.53
ESE,1.28,2.11,0.82,2.54,0.69,0.35,0.9,0.81,2.05,0.65,0.66,0.47,1.3,1.49,0.47,0.7,0.68,1.4,0.67,1.4,1.31,0.75,1.26,0.79,1.51,0.68,,1.29,9.65,0.73
SW,0.61,0.67,0.64,0.76,4.49,0.65,2.97,0.52,0.98,0.56,2.36,0.49,1.9,1.32,0.83,1.31,1.83,0.73,1.71,0.72,1.61,0.78,1.23,0.86,1.19,0.93,,0.48,1.6,1.8
NW,0.39,0.35,0.59,0.35,0.44,8.22,0.35,0.74,0.32,1.47,0.55,3.59,0.24,0.28,4.28,1.13,2.75,0.6,1.74,0.73,0.5,2.1,0.63,1.73,0.42,2.91,0.18,0.97,0.19,4.14
SSW,0.68,0.84,0.55,1.12,3.02,0.38,4.16,0.67,1.39,0.52,1.55,0.42,2.96,2.21,0.58,0.95,1.58,0.93,1.63,0.87,2.27,0.6,1.77,0.6,1.71,0.61,,,3.67,1.54
NNE,1.7,1.04,2.16,0.83,0.51,0.99,0.47,2.6,0.58,1.91,0.8,1.47,0.44,0.48,0.88,0.87,1.0,0.9,1.04,0.91,0.94,1.0,1.05,0.94,1.14,0.83,,1.61,1.14,0.66
SE,0.87,1.36,0.76,2.11,0.98,0.34,1.28,0.71,2.94,0.54,0.65,0.34,1.81,2.55,0.34,0.59,0.87,1.28,0.97,1.26,1.44,0.8,1.25,0.81,1.41,0.72,,0.85,20.15,0.87
N,1.05,0.78,1.42,0.59,0.46,1.73,0.42,2.01,0.44,3.18,0.6,2.78,0.46,0.48,1.29,0.71,1.07,0.86,1.12,0.81,0.76,1.24,0.84,1.15,0.79,1.24,0.27,0.85,0.61,1.08
WSW,0.49,0.56,0.5,0.59,3.53,0.9,2.07,0.64,0.68,0.72,4.86,0.7,1.36,0.94,1.27,2.55,3.13,0.51,3.05,0.57,1.31,0.79,1.1,0.91,0.98,1.11,,0.67,0.97,1.77
NNW,0.53,0.46,0.82,0.36,0.37,4.27,0.35,1.32,0.33,2.8,0.53,5.82,0.35,0.31,2.43,0.77,2.13,0.65,1.89,0.75,0.58,1.66,0.61,1.63,0.52,2.19,0.12,1.36,0.26,2.94
S,0.84,1.04,0.62,1.49,1.83,0.34,2.86,0.69,2.0,0.52,1.11,0.39,3.39,2.66,0.48,0.7,1.14,1.05,1.18,0.97,1.99,0.6,1.6,0.66,1.77,0.56,,,49.79,1.12
